BT_A_N_001	BT_A_N_025	BT_A_N_029	BT_A_P_014	BT_A_P_026	BT_A_P_030	BT_A_SL_003	BT_A_SL_027	BT_A_SL_031	BT_A_SM_004	BT_A_SM_028	BT_A_SM_032
LOC100642214	125	165	155	99	95	119	127	119	94	133	85	89
LOC100642216	61	42	27	23	42	18	85	27	33	64	22	28
LOC100642217	1058.5241	1008.9652	604.98	885.8354	797.617	720.9653	887.104	799.7734	737.065	671.458	749.071	537.846
LOC100642218	3695	6105	6265	6302	3934	4355	6347	4925	3916	4140	3927	4409
LOC100642219	713.9997	1819.0016	772.0002	1650.9958	990	833.0009	389.9995	1353.9994	1699.004	841	620	559.0002
LOC100642220	1418	1794	1251	1540	1290	1461	1702	1336	1395	1171	1187	1210
LOC100642221	2037	2690	2080	2079	1944	2525	2396	2146	1985	1478	1588	1912
LOC100642223	4406	7086	4301	5898	5227	5758.93	5872	5543	5508	4183	4731	4988
LOC100642224	4373	7718	5024	6031	5384	6501	7395	5301	5560	4304	5305	5341
LOC100642225	854	987	913	840.105	745	870	898	948	759.0001	697.9996	674.0004	705.9995
LOC100642226	3115.0019	1786.0003	1511.9993	10030.0014	4201.9983	1619	9705.9943	8862.9941	16678.002	15292.9989	9430.0055	1246.0004
LOC100642227	328	556.0005	455.0115	544.009	315.9995	311	824.9996	258.9996	261.9997	334.0103	328.0097	430.9998
LOC100642228	455.17730119413	323.0479	333.040609754	319.9994	308.000389	251	477.1115	345.99959	334.161	372.056754	246.1199	282.1165
LOC100642229	1381.89800048232	948.2164229772	1140.430919247	1005.37464431727	996.992244028	1063.75500835232	1870.6242	1028.017	926.37357633	1116.1506	734.027900015878	792.5585
LOC100642230	774.9997	1130.00025	749.999726	875	700	904	920.0006	801.0001	702.9990570546	785.9996	699.0005	702.9998329
LOC100642232	3	1	1	0	0	5	0	3	1	1	0	2
LOC100642233	50	61	72	46	42	42	68	27	35	56	28	42
LOC100642234	632.9997	655.9996	863.9996	641.0005	486.9996	596.0005	592.9997	486.9995	367.0001	450.0002	501.00023	559.0001
LOC100642235	7632.99501	5892.0059	6322.99866	4760.99971	5574.997	7082.994206	5871.9963	5385.9966	5989.001101	5246.994503	4936.9991	5624.99867
LOC100642236	33	57	35	38	15.99998	26	21.00001	27.99995	34	44	25.00004	17
LOC100642237	0	0	0	0	2.10966	0	2.08811	0	0	1.05355	0	1.04557
LOC100642239	11	12.000029	5.000003622	5.00000241	3.0000016	1.9999962	6.999996	11.999998	3.9999955	9.999997	4.999998	4.0000031
LOC100642240	6781.485489	10273.20850036	7130.85800626105	6868.1320318596	7028.34818415	8491.07500222489	9055.132776	7066.2870000279	5989.61	4887.978	5979.51100016811	7268.5440075463
LOC100642241	3372.63112	2693.22026	2186	1946.00183	1349.15115	1591.1595	2375	1596.45478	1442.18	2156	1760	1216.99607
LOC100642242	41.1978	456.404	283.529	378.722	127.642	227.726	30.0099	390.522	234.175	433.545	253.957	336.755
LOC100642243	1518	1680.85	1609.37	1683	1434.57	1580.48	2184	1593.5	1272.91	1441	1383.49	1276.47
LOC100642244	512	288.00044	279.1017	168.0002	244.9996	332	181.9999	230.0005	189.00031	211.0003	208.9998	212.0902
LOC100642245	412.0002	369.000200050547	353.0001	365.0001	370.999440267382	306.000500936272	485.9996	376.9996	401.0004	367.00050198178	158.0002097	248.99948
LOC100642246	374	366	389	304	232	227	378	285	248	335	236	262
LOC100642247	1196.996	1198.995	1109	1096	1051	1031.0002	1367.998	1167	996	922	860.0005	949
LOC100642248	9	9	25	14	12	12	15	15	10	10	8	13
LOC100642249	811.015	1400.7	958.768	1105.72	945.221	1133.65	1298.34	1011.24	949.807	933.436	915.138	963.765
LOC100642250	13056	7941	11084	10060	11360	6215	10874	10619	9177	8388	5351	5132
LOC100642251	845	1016	849	761	674	712	768	716	643	684	563	697
LOC100642252	375.00029	330.0008	443.0003	392.0002	350.9997	294.9992	303.9995	373.9996	353.99963502	308	252.9996981	293.0001
LOC100642253	1108	1231	1305	1234	1067	1183	1251	1304	870	762	810	982
LOC100642254	370	428	363	309	284	298	470	302	268	336	262	293
LOC100642255	1363.9968	1470.0047	1387.0043	1435.0031	1321.0042	1316.0041	1702.002	1424.9988	1289.0004	1207.0034	1047.0001	1066
LOC100642256	5054.001	5528.996	3922.005	4730.002	4844	5170.999	6118.997	5220.003	5431.004	4126.003	3977.997	3841.004
LOC100642257	0	0	0	0	0	1	0	0	0	0	0	0
LOC100642258	544.0002	595.431	515.7371	526.133	478.9996	593.9999	611.9996	499.0427	441.0005	441.279	429.335	450.1755
LOC100642259	156.93	240.887	253.238	236.127	138.142	165.84	246.021	181.893	152.065	187.674	151.249	181.002
LOC100642260	765	677.0003	667.0004	651.0003	637	717.00008	1046.0012	593.0001	645.9997	620.9999	533	550.99958
LOC100642261	5479.996	6353.004	6745.996	7059.004	5598.999	5469	5898.003	5403.001	5993	4984.997	4387.003	5121.003
LOC100642262	969	865	796	748	742	750	1041	712	585	653	610	641
LOC100642263	3718	5158	4636	4010	3434	4077	4118	3698	3609	2951	2929	3485
LOC100642264	5092.993	5424	4528	4270.946	5048.946	6045.002	6236.94	4974.942	4095.961	4013	3804.004	4283.996
LOC100642265	1614.66	1344	1359.64	1530	1311.53	1399.72	1615.74	1429	1213.84	905.596	1016	1024.87
LOC100642267	1573.9989	1497.00000003989	1530.853	1398.0007	1193.0007	1323.99974	1532.0003	1431.9995	1309.00046	1268.9996	997.0002	1091.9999
LOC100642269	266	180	171	177	176	159	189	178	169	205	101	127
LOC100642270	1854.1234	1498.9999	2273.0015	2153.215	1106.5544	1346.0003	1713.0849	1323	1453.0003	1767.0005	977.2107	1101.0004
LOC100642271	798.9994	871.0007	628.9999	646.0003	663.9997	550.0005	842	744.0004	632	691.9997	487.9991	549.0004
LOC100642272	23074	47358	26247	27741	31195	40988	20361	36300	29040	20271	30588	44181
LOC100642273	804	1360.001	794	923	919	1081	1480.999	793	818.0002	821	1052	894
LOC100642274	268	336.9998	295.0002	230.9997	269.9996	242.0001	359.9999	267.9995	214.00008	226.99993	175.9997	246.00005
LOC100642275	3	5	4	3	3	3	5	3	6	11	1	2
LOC100642277	656.16311	390.9995	341.99979	311.1313	335.0436	308.2549	339.00015	289.5422	340.0003	580	255.9998	200.2039
LOC100642278	1036	813	885	800	770	789	1045	903	733	866	615	615
LOC100642279	180.164	139	153.237	201.266	170.186	179	249	156	174	173.213	85	113
LOC100642280	1360	1727	1418	1379	1125	1275	1463	1211	1242	1084	1145	1121
LOC100642281	4181.635	4029.758	3932.593	3152.539	3484.723	3339.172	3860.747	3485.637	3765.072	3036.319	2138.691	2356.093
LOC100642282	1127	1852	1328	1377	1123	1356	1576	1391	1305	991	931	1334
LOC100642283	564	892	670	662	489	619	711	571	528	556	545	609
LOC100642284	2510.996	2701.996	2259.004	2353.003	2110.001	2311.998	2791.001	2270.997	1978	1829.004	1790.9964	1868.0028
LOC100642285	1235.548	1400.583	1108.225	1308.069	1174.761	1310.668	1346.061	1276.488	1118.6	920.745	1029.431	1141.34
LOC100642287	2331	2202	1782	1951	2039	2214	2652	2259	2040	1700	1591	1718
LOC100642288	6128	6722	8119	6242	6108	5775	9572	6796	4946	4893	3199	5011
LOC100642289	65.7043	51.0885	89.787	65.6456	68.7806	47.2892	36.9533	111.485	82.0215	87.1386	29.9931	51.6513
LOC100642290	619.9998	452.99957918174	516.999600173392	455.9999031	446.0004	435.9993	636.99995	536.9999	444.00027	449	353.0005253	394.00032248
LOC100642291	2225.31	2907.26	2396.57	2542.56	2055.63	2623.55	2792.73	2167.07	2111.21	1661.02	2250.31	2139.55
LOC100642292	37	41.5047	51.2458	28.0628	28	47	46	28	23	31	27.99999	29.5843
LOC100642293	1212.25268136872	1041.62645085926	1160.3333	922.960865244849	848.00582	1104.44674384032	1350.5501	903.64749330864	731.00009	936.540881220999	770.14505106743	940.2683
LOC100642294	4815.6755	4937.5813	5893.1271	4932.3271	3441.90797	3574.9142	4648.0268	4598.4816	3380.9658	3421.3051	2667.3116	3405.28175
