BT_A_N_001	BT_A_N_025	BT_A_N_029	BT_A_P_014	BT_A_P_026	BT_A_P_030	BT_A_SL_003	BT_A_SL_027	BT_A_SL_031	BT_A_SM_004	BT_A_SM_028	BT_A_SM_032
LOC100642753	791.9998	923.0002	799.0004	710	601.9996	643.0004	897.9997	678.00013	638.9997	707.0003	516.0004	607.99972
LOC100642754	6936.79	2842.999	7922	5482.73	5246	3228.996	3096	5738	6560	4071	1784.043	2542.512
LOC100642755	2216	1937	2116	1926	1543	1570	2140	1690	1635	1838	1096	1335
LOC100642756	1789.997	1510.9974	1551.003	1306.9957	1246	1294.9996	1837.0002	1374.0005	1140.9998	1377	1168.0003	1162
LOC100642757	3338	6486	4238	5256	4175	5379	5527	4559	4795	3505	3978	4598
LOC100642758	2069.997	1379	1747.999	1627	1613	1357	1875	1914.001	1412	1368	917	1057
LOC100642759	108.624	114.263	159.531	164.435	76.1588	116.437	140.874	98.094	78.1221	73.4724	80.3342	117.037
LOC100642760	5494.4	5262.6	3734.84	3353.9	2909.05	3307.33	3095.49	3517.99	5658.83	4072.62	2334.65	3068.83
LOC100642762	851	801	511	595	602	764	1004	574	635	874	808	521
LOC100642763	988	1132.51	1101.2	899.175	875	1050.38	1218.56	877.158	735	663	900.184	826.182
LOC100642764	925.125	973.209	889.046	837.572	684.864	729.888	1019.94	922.483	854.974	687.059	512.994	623.951
LOC100642766	478	609	535	442	392	528	555	454.0003	360	448	400.9996	448
LOC100642767	5433	3581	4756	5333	3461	4391	6826	4691	4919	4655	2886	2664
LOC100642769	130.00041	215	129	207	64.00005	54	59	93	99	283.9996	105.99986	65
LOC100642770	3614.9973	5795.9956	3596.0023	4734.003	4035.9956	4266.0014	8458.9952	4161.0008	3604.00229	3713.9952	3870.9974	3522.9986
LOC100642771	2753.0048	2066.001	2068.9977	1813.9972	2038.00067	1953.999411709	4179.0042	2462.00078	1880.0022	2358.0002	1233.9993337697	1524.9997
LOC100642772	907	1050	439.9999	352.9999	618.9997	506.0001	464.9998	670.0003	528.0003	308	336.0004	419.9999
LOC100642774	7123	10179	6418	6206.01	7026.99	8023	10284.99	6586	6263	6741.01	6252	6097
LOC100642776	171.9998	149.99975	154.0001	157.00005	105.99957	108	118.9995	97	109	98	68	77.00003
LOC100642777	1124.8813	1184.9463	1142.7218	900.0001	873.9664	867.8789	1183.9295	1070.9651	822	747.9021	648.89	816.9027
LOC100642778	3.0000029	2.000001	8.0000006	1.00000026	2.0000015	3.0000035	4.9999959	2.9999982	6.0000033	3	0	3.9999972
LOC100642779	928.99977	919.99952	634.99999	539.99983	674.9997	715.9995	873.9998447571	721.9998	671.9997	651.9999	544.00026	587.000304
LOC100642780	1126.2438	1377.5493	1144.3017	1136.9998	1007.4628	1085.8609	1151.1805	864.7482	1075.3281	960.2499	824.0004	875.4671
LOC100642781	47347.01	36099.998	38893.008	31494.968	30059.954	29063.036	41828.991	29982.967	29639.953	36049.01	22810.987	25622.026
LOC100642782	213.99996	274.9995	211.9998	172	180.00001	167.00003	210.99974	142.0001	191.00009	202	136	139
LOC100642785	1114	1226	1049	1002	901	1076	1267	1055	851	806	878	826
LOC100642786	4432	6536	4327	4793	5123	5925	5611	5033	5384	3501	4158	5015
LOC100642787	70.6241	94.1603	64	66.1822	58.0858	61.6672	70.9635	80.0819	57.6236	58.354	49	81.9519
LOC100642788	3301.997	2953.003	2915.997	2524.001	2371.004	2545.002	3277.001	2491.001	2299.003	2365.004	2078.001	2171.999
LOC100642789	351	340	326	310	251	283	345	331	293	281	259	241
LOC100642790	1102	1126	974	966	801	817	1060	866.9996	753	765	701	774
LOC100642791	969	1470	1141	1106	1024	1181	1383	1193	1029	1034	977	999
LOC100642792	1042.86	1496.42	909.947	936.094	817.411	896.408	852.346	809.649	808.635	723.607	622.66	821.774
LOC100642793	1879	2694	1969	2095	2049	2135	2210	1981	2307	1947	1725	1759
LOC100642794	412.9998	492.9995	383.0004	347.0005	365.0005	374.9998	455.0001	446.0003	417.9999	352.9997	318.9997	364.9996
LOC100642796	16	16	14	14	10	17	16	9	11	17	5	4
LOC100642797	148.197	99.2873	74.5086	58.0385	86.0938	81	98.0642	81.2076	84	152	54.2232	70.0917
LOC100642798	1869.0001586	1204.999261801	1282.99968371937	1169.000044	1250.9992883	1136.99912611	1583.00157606	1432.000992	1174.9999311134	1212.99966003835	745.999242667971	907.99959939
LOC100642799	231	264	252	276	189	203	224.94	229	223	210	213	169
LOC100642800	329.64	390.997	373.761	307.69	303.515	355.728	363.359	319.862	345.802	302.404	247.749	258.952
LOC100642801	3171.001	2634.998	2411.004	2228.999	2207.005	2128.002	2968.002	2501.005	2426.002	2113.004	1570.0016	1880.003
LOC100642802	4554.112	6896.62	6484.519	5864.372	4854.663	5977.766	7209.618	4766.436	4647.507	3948.43	4241.8165	4762.316
LOC100642803	2033	4694	2434	3530	3067	4114	4475	2955	3581	2112	3161	3257
LOC100642804	2819.003	4852.996	3965.001	3195.999	3532.995	4808.999	3754.001	3878.002	4273.995	2392.002	3532.002	3986.999
LOC100642805	693	611	512	486	459	477	591	455	468	518	334	397
LOC100642806	732.4961	624.6943	567.4946	577.3045	571.5654	490.9507	824.95	636.5359	555.4213	613.9417	315.524	402.7679
LOC100642807	38436	33579	27474	23016	23553	23505	23256	24199	33262	25098	18225	23430
LOC100642808	1150	1014.0004	997.0005	985.999	816.0002	881.9992	1039.9997	836.0002	823.9997	944.9999	742	744.9996
LOC100642809	1643.999	2202.9946	1871.0026	1919.9971	1554.005	1776.999	2292.998	1577.001	1632.999	1574	1458.0044	1633.0015
LOC100642810	495	508.0005	487.9998	378.0002	387.0002	370.9996	578.9999	460.9234	309.9999	373.9997	235.9998	361.0005
LOC100642811	11.1328	34.2002	53.865	30.2546	15.2297	26	20.6452	20	7	16.2851	7	9
LOC100642813	285	206	265	230	238	210	314	285	227	213	159	188
LOC100642814	1399	2199	850	937	859	1266	1248	798	1200	2162	1157	910
LOC100642815	4774	7290	4780	4870	4667	5861	6759	4758	4284	3666	4431	4523
LOC100642816	88.1447	129.021	257.762	244.067	412.058	332.092	322.108	152.032	124.557	100.032	195.059	234.024
LOC100642817	45.4852	43.1763	45.3387462	41.9425	41.8186000212644	30.31727	31.7482	30.24322	40.1088	39.474941772013	24.7853	32.00002
LOC100642818	1985.001	2009.9965	2562.9969	1905.0014	1879.9963	1582.0031	1843.0041	1925.9982	1706.9958	1463.0016	1132.9999	1642.9998
LOC100642819	1018	1187.0008	1100	985	937	1100.0011	1309	936.0003	953.9992	1052.001	1025.0001	921.9999
LOC100642820	986.202	974.957	979.715	785.904	729.626	737.395	1106.96	794.237	806.313	804.31	603.268	758.614
LOC100642821	934	3107	1636	2425	1824	2234	2021	1580	1903	1357	1758	1826
LOC100642822	215	362	275	282	208	284	226	234	240	258	217	265
LOC100642823	872.307	729.169	1014	777	735	709	1038	696	686	862	539	586.245
LOC100642825	245	244	197	196	158	220	188	167	183	183	168	152
LOC100642826	10117	11074	10415	9984	9753	8549	19843.01	7540	8084	8394	6613	7679
LOC100642827	501	712	754	613	432	558	595	470	489	534	409	525
LOC100642828	406.0004	367.0001	425.9992	328.0002	281.0001	280.9999	435.9992	350.9999	257.0005	321	232.0002233472	251.0001
LOC100642829	222.00002	232.611	200.3018	213.9997	169.298	231.9995	242.0003	212.99995	189.9998	182.9996	147.9998	154.00012
LOC100642832	2952.242	3754.279	3634.881	3365.004	3142.306	3125.703	4449.26	3331.72	3593.921	2974.233	2500.693	2633.615
LOC100642833	4358.5075	3656.8739	4038.07370146767	3606.633824	3496.0535	3262.44416067452	6159.5396	4003.90886905	3181.28742	3425.25029026	2447.672823	2542.8340000119
LOC100642834	157	164	126	115	102	111	126	110	93	163	100	91
LOC100642835	34	14	7	5	5	4	15	12	9	13	0	7
LOC100642836	157	109.9999	201.0002	116.00009	108	92	215.9996	109.00005	106.9999	165.99997	74.99996	83
LOC100642837	627.5336	657.0682	621.7778	590.0004	549.597	515.6005	733.7763	522.0001	486.77231	608.7862	424.7642	506.5691
LOC100642838	1476.0013	820	1191.0037	1011.0001	972.9999	1114.9962	1102.0029	1650.004	975	1006	706.99951	808
LOC100642839	52.0000106	57.00002722	51	35.99998	47.9999750423	31	48	54	53	47	50.0000584799	42.0000039
LOC100642841	2	3	5	4	8	3	2	6	2	3	3	2
LOC100642842	3556.003	4525.994	3226	3304.997	3640.996	4325.995	4276.001	3239.998	3764.999	2910.998	3814.999	3293
LOC100642843	3	0	7	4	4	1	1	2	5	1	3	4
LOC100642844	2047	1872	1017	1399	1245	1064	3204	2012	4324	8190	2160	989
LOC100642845	1879	2649	1818	2031	1752	2086	2153	1764	1892.91	1544	1612	1708
LOC100642846	591.9998	731.0002	609.9998	535.9997	557	697.9998	714.9999	620.9996	438.9998	452.0003	552.0001	600.0002
LOC100642847	178.0002	141.9999	131.00006	80.00004	139.0754	78	144.0001	100	114	180.0003	56	114
LOC100642848	1593.06905201	1013.08937795	836.0450462925	703.053060165055	1094.0693123	923.0107318854	1302.0619793	1624.0622	1127.13343678	764.0447	701.0611447	690.065860056817
LOC100642849	274.99963	338.9998	245.0001	283.9997	209.0004	262	286.00041	238.0002	195.9996	186.0002	202	201.9999
LOC100642850	4319.001	4249.998	2770.004	3239.997	3454.001	3384	4249.997	3864.005	4454.997	3358.001	3166.997	3279.003
LOC100642851	2459.997	1946.001	2420	1816.9982	1966.4362	2242.004	3415.004	1871.0002	1442.99863015	1298.0003191662	1201.0001	1479.9998
LOC100642852	1140.03	1580.88	1446.81	1221.3	1005.62	1239.22	1276.15	1206.6	1218.63	1130.76	980.898	1122.83
LOC100642853	1952	1866	1481	1494	1464	1596	1643	1574	1635	1773	1260	1400
LOC100642854	727	627	773	734	485	447	697	563	531	585	420	430
LOC100642855	531.0003	594.000300885159	487.99980609445	424.0003	384	467.9995	686	482.9997	425.9999	455.9996	368.000000947378	440.0001
LOC100642856	2036.001	2864.005	2164.0005	2025	1843.998	1920.003	3110.0012	1895.997	1706.995	1840.9976	1577.999	1691.9952
LOC100642857	2221	2612	2130	1908	1793	2128	2267	2095	1782	1452	1394	1958
LOC100642858	614.047	872.708	974.555	723.264	610.308	525.245	589.7164	948.258	548.1702	458.2022	423.0774	624.392
LOC100642859	1041	1248	1138	1116	943	1195	1281	1143	911	927	890	915
LOC100642860	34	29.99998	24.99998	40	19.00005	16	17.00003	27	20.00004	12	21.00002	18.00001
LOC100642861	31.13031	18.02490391736	22.04	28.0244	15	10	20.0164	18.0188	27	35	9.01159	19.083588223
LOC100642862	1497	2552	1905	2053	1650	2061	2267	1850	1845	1467	1622	1934
LOC100642863	1753.005	1993.995	1664.004	1715.996	1596.998	1760.004	2245.005	1559.997	1465.0022	1519.001	1648.003	1386.998
LOC100642864	16	21.00003762	15.00000401	19	12	15	12	12	12.000004205	27	9	9.0000000520507
LOC100642865	1455	1204	1218.003	1193	1098.0005	1056	1598	1175.9971	1013	1111.998	842.000000990123	859.0002
LOC100642867	2732.996	2646.974	1877.9656	2014	2113.974	2213	2801.929	1940.937	2204.875	1993.952	2288.007436	1856.942
LOC100642868	673	746	760	581	501	536	660	550	527	620	425	464
LOC100642870	810	920	679	778	622	775	1134	661	632	771	822	694
LOC100642871	5228.998	4468.9969	3409.9952	2283.0013	2594.00507	1063	3334.00102	2480.9983	4002.002	2521.0001	2482.0007	2257.003
LOC100642872	749.58	661.597	747.094	791.149	664.568	672.79	770.271	740.457	913.954	673.223	496.488	516.741
LOC100642873	3307.997	2758.004	3162.776	2402.996	2530.0035	2720.996	4109.0081	2749.995	1974.9956	2403.997	1613.0026	2113.998
LOC100642874	11566	13660	11584	12456	9388	11168	12646	9186	10985	12238	10700	9050
LOC100642875	661	744	814	769	626	699	950	724	646	601	498	541
LOC100642876	3280	3442	3040	2624	2520	2842	3378	2811	2342	2245	2294	2371
LOC100642877	1650.1134	2074.001	1764.0004	1811.3638	1629.5864	1835.909	2186.6499	1559.5894	1413.9979	1437.5971	1479.8515	1493.9972
LOC100642878	17012.9778	16035.98098632	16227.0036000207	13312.9524	13515.02927	14125.04967662	15874.990010071	16556.99393	11982.99552	11035.99716	10107.9968316556	12382.9992
LOC100642879	370	604	442	478	407	433	473	472	392	439.669	371	403
LOC100642880	870	920	828	667	615	731	845	648	592	739	592	642
LOC100642881	1092	1323	1014	1026	922	1021	1296	1078	982	923	868	813
LOC100642882	442	440	227	350	366	262	416	535	477	237	198	222
LOC100642883	585.9998	537.0005	541.0003	602.99978	435.99982	428.9995	729.9994	462.00029	565	644.9999	398.9997	312.9999
LOC100642884	189.087	151.029	275.924	166.056	192.335	137.457	824.609	113.848	140.922	180.174	104.921	117.664
LOC100642885	499.9998	478.0003	452.9997	409.99968	343.99984	428.0001	401.9996	394.9997181	345.99961	372.0004	286.00014	364.0003
LOC100642886	386.4874	603.8938	471.3644	430.374	327.3453	469.5893	468.3924	335.204	344.383	524.4743	471.5208	399.368
LOC100642887	183.99995678462	166.00005	147.00004537	134.00012	126.99995	125.000000134858	173.00008	156.99998	143.99998	180.00007	86.00007	158.99997
LOC100642888	2886	3772	3064	2866	2980	3729	3450	3471	2886	2377	2708	2930
LOC100642889	1587.555	1782.508	1677.035	1585.952	1344.357	1468	1951.08	1396.674	1327.814	1285.977	1269.807	1321.336
LOC100642890	388.591	448.063	384.544	352.718	346.943	408.954	459.388	314.012	272.222	327.497	344.542	331.652
LOC100642891	1586.4	1863.08	2319.52	1906.89	1293.58	1351.11	1590.31	1570.91	1242.93	1385.71	1243.36	1359.67
LOC100642892	2543.0026	3926.002	1936.998	3336.995	3081.9961	3999.0047	3209.0024	3161.004	2987.004	2084.0043	3063.999	2881.0009
LOC100642893	2874.999	2497.997	2492.186	2145.004	1897.204	2139.212	2618.002	2061.998	1917.001	1979.005	1292.003	1599.003
LOC100642894	603	747	716	649	563	660	903	608	497	495	511	519
LOC100642895	3036.995	4449.002	4557.995	3442.002	2689.001	2827.997	2789.998	3030.0041	3104.996	3027.003	2084	3157.0028
LOC100642896	137	201.0002	99	108	114	109	125	121	93	119	108	125
LOC100642897	170.9434	144.943842	146.944	92.9567	96.45669	117.92	138.9244	135.9026	141.9999	150.0004	115.89	92.80006
LOC100642898	121	188.9995	181.9996	146.9999	99	109	105	187	108	172.9999	74	225.9995
LOC100642899	462	520.768	427	452	370	523.806	603	410	412.683	381.583	373	417
LOC100642900	599.934	432.603	611.82	461.959	387.493	357.582	509.011	465.951	417.98	425.468	293.185	387.845
LOC100642901	2985	3968	2880	3160	2437	2975	3211	2817	2791	2774	2296	2445
LOC100642902	192.999855	200	114	122	131	168.0002	161	150.00049385	139	144.999734924	108	117
LOC100642903	29558	68699	37756	48049	33166	38854	31777	38263	35252	21119	35612	35926
LOC100642904	354	370	384	363	370	395	571	339	312	300	242	302
LOC100642905	47	84.07297	121	46.14957	61	70.0813	68	72	59	52.0156	80	64
LOC100642906	777.00035112	823.00035754	743.00033	589	465.000000053706	498.000000255338	637	603.000000020338	588.0000503156	531.000059163	373	490.0004
LOC100642907	915.9998	677.9999	726.0001	666.9996	666.9999	610	931	681	584.9998	623	468.99966	458.9998
LOC100642909	186.196	157.068	127.342	109.035	139.178	171.359	142.152	111.132	108.054	120.216	112.128	98.108
LOC100642910	2513.000946	2604.9952	2950.9961	2423.0031	1931.9968	1976.0032	2519.9953	2158.00354109	1885.995303	2104.0033	1577.9971	1820.000884427
LOC100642911	657	650	726	616	488	608	785	534	502	585	460	520
LOC100642912	11755.0056	14668.037	11934.964	12417.01	13526.003	14635.036	16349.025	11575.039	12607.988	10029	9430.0048	12325.99
LOC100642913	11408	17462.98	15105	13480	15321	14138	21613	13748	9988	9489	9156	12919
LOC100642914	1192.999	1047	1014.999	1039.001	874	994	1185	954.999	722	969	734.9998	757
LOC100642915	211345	207931	142083	104248	144507	141908	74941.1	169964	133635	126291	111387	130871
LOC100642916	15	5	14	8	8	7	4	8	2	7	5	9
LOC100642917	1724	1586	1965	1593	1288	1358	1721	1558	1202	1329	982	1194
LOC100642918	932	892	869	758	685	702	943	642	675	888	478	590
LOC100642919	24.3942	23.6188	16.28848	22.7841	18.694	27.76206	212.1972	21.7722	21.2697	25.51096	12.437	18.8734
LOC100642920	1991.995	2246	2061.999	1642.996	1315	1419	1509	1671	1450.636	1360	1223	1360
LOC100642921	6199	7277	4470	7178	3530	3273	5058	3349	3385	11537	3566	3100
LOC100642922	58	52	54.0000000471434	35	54	54	29	63	45	66	37	43
LOC100642923	73	30	30	32	31	27	34	14	28	35	14	21
LOC100642924	1114	1185	1259	867	869	950	1089	1105	689	866	709	941
LOC100642926	268	351	198	213	210	203	279	236	267	263	185	195
LOC100642927	232.0002	246.99951	192.0003	208.99978	218	226.00046	265.9999	230.0001	183.99955368	252.9995	148.99957	171.00037
LOC100642928	271	322	326	302	212	200	264	233	192.086	276	245	261
LOC100642929	5808.3546	5701.88962	5812.30248	5428.59723	4137.41142	5195.23183	6538.22971	4968.5172	3819.28753	3666.77801	3642.2033	4189.4192
LOC100642930	2156.00116916984	1945.9995598403	1780.99926957846	1068.00013910428	1393.0004646582	1177.99991221529	1769.99959944426	2491.00444778236	1071.00111212127	950.99915547463	1134.99991452594	1034.99965384635
LOC100642931	6412	9288	5069	5696	5485	6428	6213	7359	7283	4750	4210	4971
LOC100642932	2076.003	2043.001	993.913	1258	1599.996	1656.753	1317	1595	2223	1344	2044.001	1325
LOC100642933	2128.001	2343.0054	1925.0005	1976.9994	1878	2157.0028	1963.0006	2151.004	1961.0004	1872.9992	1485.0008	1572.0007
LOC100642934	1452.86	1033.86	1365.61	938	960.85	854.448	1041.55	1073.87	906	971	652.89	764
LOC100642935	714.000455	787.0001	570.00020258105	559.9998	672.9997	669.0005	868	622	510.0003	676	599.0001	521.0001
LOC100642936	34909.6	45535.7	27966.2	18821.9	26161.5	27328.3	29714.3	25429.5	33161.7	16173.4	12504.3	26032.7
LOC100642937	5789.999	2537.003	4045.001	3245.9954	2407.003	2517.997	3037.004	2159.997	2454	6777.997	2332.9969	1895.0029
LOC100642938	6.51482	10.8237	3.66128	1.05752	4.18135	2.6827	10.2518	7.75674	4.89118	3.52515	1.21465	1
LOC100642939	865	1077	1031	1039	861	847	1095	954	826	734	736	841
LOC100642940	3007.9968	2804.0023	4445.9988	2672.0008	2075.0021	2776.0052	3704.0041	2586.9975	2110.9954	2371.9993	1730.0044	2200.0007
LOC100642941	3260.8	3744.04	3353.29	3274.1	2846.37	3210.6	4721.04	3187.76	2836.69	2499.69	2439.73	2604.39
LOC100642942	16	33	38	26.99997	27.99996	25	33.00004	22.99996	24	32.0000000866075	18.99999	29.99999
LOC100642943	494	442	382.0003	323	331.9997	340	374.9997	282.9996	346.9995	365.9996	283	302.9995
LOC100642944	925.9997	985	806.9999	767	755.9998	794.9997	1032.0043	776.9998	800.9998	689.00049	641.99969	690.0005
LOC100642946	2301	2648.006	2590.002	2308.999	2015	2137.003	2531	2287	2053.999	1935	1827.001	2029.003
LOC100642947	65	104	41	41	52	72	31	89	63	52	43	49
LOC100642949	2664	2434	2330	2296	2147	1970	2896	2072	2859	2647	1476	1605
LOC100642950	356	353	270	312	240	284	412	267	264	264	203	260
LOC100642951	4.9999954719	12	6.99999816628	6	0	3	4.99999512783	4	6.00000149501	7.00000167797	2	9
LOC100642952	25	17	6	16	13.00005	23.00005	13	8	13	23	30	26.00003
LOC100642953	489	463.9996	387.0003	388.9998	337.9996	331.0002	425.9997	349.0003	342.9999	432.0004	247.9995	280.00017
LOC100642954	522.605	452.111130284975	423.50486	428.584000051671	352.585	401.9997	382.179210514979	312.00044	374.1857296	423.76263	305.000422	337.079223
LOC100642957	1652.358	1728.8	2314.695	1762.155	1669.113	1629.049	4848.372	1834.209	1543.521	1671.664	1195.428	1395.295
LOC100642958	3289.995	6730	5070	5497	5270	5835	11577	4287.001	5226	4276	4645	3377.004
LOC100642959	2130.9966	1769.999882	1424.997	1231.0036	1384.9951	982.9996	1666.998	1269.9994	1504.996	2313.0052	711.0001	1000.000353
LOC100642961	55	54	64	38	39	33	47	48	40	61	47	40
LOC100642962	582.0002	579.0002	467.0001	422.0003	337.00045	415.0001	511.9997	388.0001	331.0005	443.9998	373	404.9996
LOC100642963	15	15	15	10	25	16	6	17	18	5	17	27
LOC100642965	231.000384861	130	374.0006	114.999979	120	106.99997	213.0004	114.9999	107	247.9999	89.00003	109
LOC100642966	202.6306	236.1684	170.8686	181.7947	140.3457	150.1902	197.3931	198.0992	177.6199	179.3978	107.2018	159.303
LOC100642967	5615.707	5257.495	4098.228	3926.535	5155.988	5547.995	5413.293	5850.954	4133.627	3244.884	3691.065	3681.446
LOC100642968	107.1314	175.3083	122.279	88.0978	77.0707	131.1577	162.161	96.1183	104.1193	90.1393	116.1662	106.1273
LOC100642969	1271.807	1047.725595	1047.3661	936.057	934.1638	881.41348328	1194.91869045	1055.98100940419	940.43031	957.463989	637.289963	772.1370110257
LOC100642970	3607.3365	2924.6834	3295.3587	3022.0026	2668.2284	2483.5112	2679.2631	2815.99638	2612.16048	2507.408809	1930.99949528	1622.1252
LOC100642972	2531.9954	2820.0019	2415.0042	2577.9956	2151.9988	2527.0048	2254.0038	2022.0043	2616.9971	2337.0018	2003.0016	1747.9985
LOC100642973	73	38	38	22	48	34	33	48	45	71	10	23
LOC100642975	533.257	667.231	627.079	570.859	505.558	564.59	670.761	513.58	410.707	403.424	400.724	477.457
LOC100642976	3351.379	3719.775	3070.833	2883.549	2854.114	2893.255	3711	2992	2533.586	2660.908	2219.925	2596.99
LOC100642977	1701	1575.999	1458	1229.999	1252.9997	1492.001	1578.0028	1523	1289.9998	1148.0000808083	1106.9995	1247
LOC100642979	1852.22	2219.6027	1930.3674	1904.856	1908.94700009459	1858.841602	2380.93156	2181.6341203088	2057.198316774	1764.174	1591.028	1630.751
LOC100642980	2162.998	2941.004	2060.00474121	3009.003	3245.9999	2200.9989	3793.002	3174.9951	2219.0047292	3746.999	2596	1999.9951299
LOC100642981	19	20.00004	20.99996	21.00002	12	16	21	16.99996	18	13	9	20.99995
LOC100642982	49.3284	88.7756	66.7983	46	47	38	51	26.6302	43	71.8726	44	77
LOC100642983	2708.009288	3475.006183	2165.9992	2248	2311.0037	3088.0048	3191.9971	2668.0038742	2549.0018108382	1779.9992	1836.999	2215.0026
LOC100642984	482	460	584	417	372	347	480	430	377	362	310	374
LOC100642985	548	484	500	577	364	711	603	379	462	724	433	320
LOC100642986	709	1124	673	816	714	864	936	707	721	629	802	727
LOC100642987	4604.003	3772	4006.9996	3987.996	4554.992	3509.008	4521.9962	4479.004	4352.005	3511.9967	2595.997	2800.0049
LOC100642988	738.0621	667.1237	884.3317	676.8622	641.4534	674.8573	775.6346	583.546	679.471	617.7634579608	482.8681	494.6258
LOC100642989	1702	1413	1313	1315	1220	1243	1659	1240	1311	1151	919	970
LOC100642990	11	10	17	16	9	17	58	10	8	8	15	18
LOC100642991	11892.0037	10819.0011	9238.9962	7537.0029	8697.0001	9552.001	11868.0032	9734.0011	7936.9977	8047.0017	7426.9981	7398.9975
LOC100642992	294	361	243	294	236	263	291	260	241	268	170	233
LOC100642993	5	1	1	4	3	3	3	0	0	2	0	1
LOC100642994	393	696	505.731	560	427	461	591	419	418	342	389	415
LOC100642995	3951	6080	2947	4593	5107	6935	4265	6204	5731	2539	4371	5977
LOC100642996	724	1140	997	1029	715	869	949	845	749	702	694	673
LOC100642997	342.2976	301.1683	353.168	255.078	280.1131	297.1923	394.1616	340.1714	234.0399	249.1561	213.0388	212.1403
LOC100642998	731	830	587	636	641	656	661	690	613	691	480	573
LOC100642999	112.999935433	129.0001	131	115	84.00003	119.99998	121	109	104.00005	70.9999	117.00008	111
LOC100643000	54	75	54	48	34	52	85	42	41	68	33	40
LOC100643001	312.00814	300.0002	247.9998	247.00622	238.0126	251.0186	357.9998	290	263.9997	234.0002	176.9998	241.01438
LOC100643003	2723.001	4863	3094.005	3270.003	3197	2266.999	3491.999	3433.001	4230	2162.996	1869.996	2421.004
LOC100643004	1377	1356.0003	917	930	1049	1006	1022	930.9994	1106.9997	763	1042.00000399124	879.0001
LOC100643005	664	1026	1002	855	728	906	878	731	814	639	731	907
LOC100643006	277.678	330.6	291.586	307.976	247	267.605	339.614	297.319	305.363	285.707	194.161	243
LOC100643007	3713.87	5093.97	4382.24	3786.32	4086.29	4555.45	3875.27	4463.49	3615.51	2840.67	3457.77	3387.97
LOC100643008	13212.561	8953.163	14933.518	11903.802	9239.3302	7730.871	8121.674	10751.0410040004	8517.461	5651.7584	4490.7609	7416.8030157502
LOC100643009	3379.388	5172.268	3638.356	4089.654	2410.635	3092.622	3575.461	3323.553	2773.217	2778.668	2761.655	2840.364
LOC100643010	961	653.9996	888.9999	897.0003	728.7088	918.9997	883.9361	787.99985	1400.001	724.9996	630.9999	600.0003
LOC100643011	4074.27	3432.16	3251.49	2781.57	3174.47	3156.25	4263.01	3682.64	2792.2	2312.44	2134.69	2592.61
LOC100643012	594	440.9998	316	303.9998	429	367	447	356.0002	377.0002	467	264.9999	250
LOC100643013	969.000362	859.99955164859	1698.00057	959.000327261	801.99982	881.00011	1190.00035	907.99974	566.00052	937.00019	375.00033	684.000110169
LOC100643014	145	137	144	129	125	115	89	94	118	111	72	66
LOC100643015	322.11927	366.05755	352.27964	321.000200046336	244.03405	300.12124	347.07041	258.03514	253.99992	333.09793	238.1103	264.09722
LOC100643018	467	579	541	482	402	392	491	511	400	438	353	430
LOC100643019	2191.003	1951.002	2050.997	1483.999	1322.005	1731.003	1557.995	1661.003	1319.995	1570.004	1259	1561.004
LOC100643020	19224	22925.966	22990.964	21969.018	20806.97	28267.01	18872.99	28442.04	13655.999	17202	12863.007	14925.999
LOC100643021	420.99976	487.0003	409.9998	435.0001	314.0001	339.00026	495.99995	321.99994	382.99953	382.99963	293.00005	290.99958
LOC100643022	3359	4873	7060	5066	3944	4704	4748	4467	3626	2607	2965	3831
LOC100643023	3159.999274847	3081.995549578	3738.00300028105	2609.00197214	2884.004699	3173.0007	2547.0008	3011.99982895351	2635.00500754262	2521.99957	2242.99741908	2231
LOC100643024	3995.9952	3240.0048	3460.9987	2311.00003053	2468.0001162827	2433.999	3823.99354663	2455.00037	2102.99984	3010.0005	1525.0003	1941.9999
LOC100643027	1460	1592	1293	1245	1106	1253	1677	1225	1016	1293	1122	1103
LOC100643028	9106	10331	9129	9349	7803	8595	11025	7794	9193	9272	7083	7066
LOC100643029	509	1025	654	824	702	836	807	596	751	599	757	697
LOC100643030	390	451.9996	384.0003	361.99959	303.9998	360.0002	508.0002	308.00009	324.0003	325.9997	320.0003	351.9998
LOC100643031	20	23	7	21.99998	15	12	17.99997	8	12	21.00002	10	9
LOC100643032	39	41	33.0087	33	37	26	38	25	34	32.1812	19.0081	24.0091
LOC100643033	2143.0322	2376.0117	2102.0082	1897.0067	1817.0118	1923.0051	2440.0148	1934.0238	1715.9955	1833.9957	1534.0039	1554.004
LOC100643034	660.606	505.381	503.712	536.216	509.306	583.238	530.863	434.228	515.73	651.489	368.563	387.127
LOC100643035	1962.999775	2611.00392773	2210.99833	1918.000532	1619.00040003789	1956.999945	2403.0051057	1890.99973981	1752.00074	1947.9997762	1654.00032	1630.999814
LOC100643036	1624	1533	1368	1232.0021	1202.9971	1313.9998	1874	1414	1099.0017	1135.997	1110	1089.00000051766
LOC100643038	316.91	355.411	317.102	322.407	306.368	355.021	392.964	274.674	253.056	328.494	249.229	240.211
LOC100643039	978	1258.53	1302.38	1174.51	843.471	1049.49	1432.54	943.452	822	980.114	838	970.015
LOC100643040	240	351	253	301	176	254	299	265	241	228	188	188
LOC100643041	1279.505	1423.30228	1014.5057	965.695	721.434	751.049	818.05	1104.4684	1124.579	655.058	532.4749	816.2315
