baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Contrast	OrthoGroup
41827.4956467108	4.09274835475837	0.90182399294031	4.53830058503362	5.67093877871599e-06	0.0052853149417633	Treatment_GramPos_vs_Naive	OG0000635
2069.56377788448	1.61279533011426	0.465898760463598	3.46168624382995	0.000536802561351832	0.0833833311966512	Treatment_GramPos_vs_Naive	OG0000695
4403.42868868061	1.57683044177363	0.36399610820441	4.33199807973807	1.47762230934113e-05	0.00918095994870621	Treatment_GramPos_vs_Naive	OG0000699
5567.6479344763	1.36133528349102	0.402832247982889	3.37940989160541	0.000726416156809336	0.0967171225923287	Treatment_GramPos_vs_Naive	OG0001255
1816.07066837333	0.942678925430935	0.269318247234391	3.50024157334764	0.000464836702511868	0.0807103848694457	Treatment_GramPos_vs_Naive	OG0003297
6881.82243168329	1.82502003008342	0.434533222211645	4.19995511688292	2.66967896277743e-05	0.0124249974895274	Treatment_GramPos_vs_Naive	OG0003982
5030.07240394429	0.65593898785125	0.181722008184294	3.60957373520783	0.000306700585926236	0.0714612365208129	Treatment_GramPos_vs_Naive	OG0004091
2427.78484320301	2.33338571152246	0.66787516280693	3.49374530071722	0.000476295189680205	0.0807103848694457	Treatment_GramPos_vs_Naive	OG0004188
57422.328232317	-1.51982682166059	0.375498215953238	-4.04749412138315	5.17688817592649e-05	0.0160828659332116	Treatment_GramPos_vs_Naive	OG0004253
95525.0029938505	3.24356497616929	0.909450424622286	3.5665110360649	0.000361765581670543	0.0749256715815436	Treatment_GramPos_vs_Naive	OG0004610
7822.86242020337	-1.56600882979935	0.301537171826246	-5.19341884224385	2.06466968662746e-07	0.000384854429587358	Treatment_GramPos_vs_Naive	OG0007158
2517.46227020039	-1.17739686204418	0.306483305414406	-3.84163457272879	0.000122217698863802	0.0325448272403038	Treatment_GramPos_vs_Naive	OG0007195
76442.3031539825	1.95477214563114	0.471092918292979	4.14944073605335	3.33288559268439e-05	0.0124249974895274	Treatment_GramPos_vs_Naive	OG0008153
2407.90149242497	1.7920097236515	0.529466825966661	3.38455524645908	0.000712936701070203	0.0967171225923287	Treatment_GramPos_vs_Naive	OG0008945
4403.42868868061	1.57358831981882	0.364005421886952	4.3229804426032	1.53935384195486e-05	0.0392176047135366	Treatment_GramNeg_vs_Naive	OG0000699
137.046874064433	2.524986356332	0.622397424776046	4.0568714712156	4.97344329921468e-05	0.0950300678397445	Treatment_GramNeg_vs_Naive	OG0002205
6881.82243168329	2.00731788357825	0.434532678219591	4.61948659834474	3.84690725168412e-06	0.0234999364387911	Treatment_GramNeg_vs_Naive	OG0003982
76442.3031539825	2.12989867096521	0.471092869602864	4.52118639104161	6.14940113536336e-06	0.0234999364387911	Treatment_GramNeg_vs_Naive	OG0008153
