baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Contrast	Gene	Desc
77.4829968852502	-1.48608626703671	0.301136878575635	-4.9349195424547	8.01838074433177e-07	0.00151253388773912	Treatment_Wound_vs_Naive	Caust.v2_007535	XP_017876466
619.421246632711	-12.345176410523	1.26361611169003	-9.76972064245997	1.5187024812104e-22	1.71886746823393e-18	Treatment_Wound_vs_Naive	Caust.v2_011640	XP_017877117
111.587762549197	21.9266620567245	4.24760068819317	5.16212885021722	2.44157130725959e-07	0.00055267408111128	Treatment_Wound_vs_Naive	Caust.v2_012616	XP_026670530
226.095094323342	23.8499839319399	4.24718048050158	5.6154863306217	1.96010152798601e-08	5.54610727343641e-05	Treatment_Wound_vs_Naive	Caust.v2_012959	XP_017879365
58.5673156071165	6.80080924492227	1.13824995732118	5.97479420155455	2.30380824257705e-09	1.30372508447435e-05	Treatment_Wound_vs_Naive	Caust.v2_016765	XP_026668057
199.947906154671	20.6773303920467	4.24830753582428	4.86719245668611	1.13194785447541e-06	0.00183019797385039	Treatment_Wound_vs_Naive	Caust.v2_018296	XP_017893318
85.3247489662014	-24.3315426214785	4.24738343984439	-5.72859572630671	1.01265403811382e-08	3.8204061344574e-05	Treatment_Wound_vs_Naive	Caust.v2_018887	XP_026669492
13503.7744779	1.64119922718389	0.39871706499956	4.11620011093755	3.85169922501631e-05	0.0215999238118678	Treatment_GramPos_vs_Naive	Caust.v2_000063	XP_017876032
1492.29340206049	-1.15446063573088	0.324726895402913	-3.55517406187884	0.000377728941405469	0.0874935189277233	Treatment_GramPos_vs_Naive	Caust.v2_000168	XP_026666750
1599.66657075806	0.822970346395242	0.220633700458399	3.73003011183423	0.00019145688795545	0.0540522403658362	Treatment_GramPos_vs_Naive	Caust.v2_000824	XP_017892833
17489.2620950967	-0.464534788028441	0.123272523899426	-3.76835626734988	0.000164326060332792	0.0540522403658362	Treatment_GramPos_vs_Naive	Caust.v2_001434	XP_017888810
1083.42636731917	-0.88601220242817	0.226617687028999	-3.9097222023751	9.24023238554703e-05	0.0410227816950015	Treatment_GramPos_vs_Naive	Caust.v2_001456	XP_017877249
5527.21116150777	-0.408321823914086	0.11307305482837	-3.61113286037831	0.000304862426877734	0.0744896463603593	Treatment_GramPos_vs_Naive	Caust.v2_001493	XP_017877125
3012.89950873507	-1.93693641385685	0.551959889934878	-3.50919776813017	0.00044946056034006	0.0979758686037769	Treatment_GramPos_vs_Naive	Caust.v2_002077	XP_017880867
31034.5321688749	-0.385913198794292	0.100770373554438	-3.82962953477408	0.00012833631550077	0.0506453126541001	Treatment_GramPos_vs_Naive	Caust.v2_002439	XP_017889387
952.14733117024	-0.658742172524394	0.163348374803215	-4.03274396404603	5.51293342490982e-05	0.0272037254941901	Treatment_GramPos_vs_Naive	Caust.v2_002764	XP_017890958
3520.39366008963	0.52443871932552	0.149164979237226	3.5158300695465	0.000438381470243355	0.0979758686037769	Treatment_GramPos_vs_Naive	Caust.v2_002852	XP_017878390
1627.88141135369	1.05128659915945	0.279427614104487	3.76228599499239	0.000168367358712613	0.0540522403658362	Treatment_GramPos_vs_Naive	Caust.v2_003325	XP_017886675
948.350153283535	-1.3537406057401	0.361958627817094	-3.74004237419138	0.000183989235195978	0.0540522403658362	Treatment_GramPos_vs_Naive	Caust.v2_004115	XP_017884925
7981.77734458687	-0.592438667819433	0.146857483004778	-4.03410609863277	5.48105499606281e-05	0.0272037254941901	Treatment_GramPos_vs_Naive	Caust.v2_004447	XP_017881700
832.075837342947	-1.76686492897247	0.282807736971496	-6.24758342149088	4.16851658120025e-10	1.48051813908962e-06	Treatment_GramPos_vs_Naive	Caust.v2_004531	XP_017886869
1406.90961657551	1.49225947167138	0.405607382948459	3.67907374077805	0.000234082583149223	0.0623537480863743	Treatment_GramPos_vs_Naive	Caust.v2_004987	XP_017883083
1315.96257871023	1.27541370502488	0.305091133434877	4.18043517248633	2.90951752127006e-05	0.0193755682432078	Treatment_GramPos_vs_Naive	Caust.v2_005102	XP_017885823
20.5758231877984	3.5331250421187	0.857293767837529	4.1212536176844	3.76816319672441e-05	0.0215999238118678	Treatment_GramPos_vs_Naive	Caust.v2_005416	XP_017887835
9.04100604185753	-3.27635402271827	0.866448050550881	-3.78136233399704	0.000155972466430616	0.0540522403658362	Treatment_GramPos_vs_Naive	Caust.v2_005623	XP_026669502
90.1668604531881	2.16535454571807	0.33930476433306	6.38173928967459	1.75087862975638e-10	1.23557383995503e-06	Treatment_GramPos_vs_Naive	Caust.v2_006295	XP_017885980
8632.51712287197	-0.41676481579365	0.111626780892748	-3.73355580498268	0.000188795338822952	0.0540522403658362	Treatment_GramPos_vs_Naive	Caust.v2_006316	XP_017886582
139.260548522626	-1.83761916169433	0.401646960208652	-4.5752099324733	4.75742695094281e-06	0.00460821674202688	Treatment_GramPos_vs_Naive	Caust.v2_006560	XP_017890176
566.091132631795	1.20120542366783	0.31915610067231	3.76369250387963	0.000167422734762405	0.0540522403658362	Treatment_GramPos_vs_Naive	Caust.v2_006891	XP_026673076
82.1501783044444	-1.52953103476709	0.33390041051114	-4.58080010271823	4.63200420940944e-06	0.00460821674202688	Treatment_GramPos_vs_Naive	Caust.v2_007386	XP_017875749
77.4829968852502	-1.46290810381064	0.299756627762902	-4.88031946025145	1.05914133932392e-06	0.00125390566338849	Treatment_GramPos_vs_Naive	Caust.v2_007535	XP_017876466
80.6421935461725	-9.91770992292663	2.82673226473734	-3.50854237122035	0.000450569456741912	0.0979758686037769	Treatment_GramPos_vs_Naive	Caust.v2_007642	XP_017884843
