target_id	length	eff_length	est_counts	tpm
Caust.v2_020418-RA	1068	807.671	0	0
Caust.v2_010071-RA	561	301.336	103	13.0699
Caust.v2_010085-RA	753	492.851	301.574	23.3973
Caust.v2_010080-RA	4215	3954.67	157	1.51802
Caust.v2_010082-RA	1452	1191.67	4	0.128349
Caust.v2_010065-RA	1548	1287.67	696	20.6677
Caust.v2_010079-RC	2280	2019.67	282	5.33895
Caust.v2_010077-RA	873	612.794	1035	64.5822
Caust.v2_010075-RA	1236	975.671	139.453	5.46525
Caust.v2_010076-RA	255	37.8062	700	707.981
Caust.v2_010063-RA	1956	1695.67	411.821	9.28655
Caust.v2_010069-RA	1194	933.671	317.654	13.0091
Caust.v2_010079-RA	2280	2019.67	282	5.33895
Caust.v2_010066-RA	2379	2118.67	2658	47.971
Caust.v2_010079-RB	2280	2019.67	282	5.33895
Caust.v2_010067-RA	6006	5745.67	1881.62	12.5222
Caust.v2_010078-RA	762	501.841	376	28.649
Caust.v2_010070-RA	1386	1125.67	712	24.1855
Caust.v2_010074-RA	798	537.841	39.6503	2.8189
Caust.v2_010068-RA	846	585.807	321	20.9526
Caust.v2_010067-RB	5664	5403.67	678.375	4.8003
Caust.v2_010069-RB	861	600.794	58	3.69138
Caust.v2_010083-RA	405	147.388	0.314773	0.0816622
Caust.v2_010072-RA	276	46.5944	496	407.038
Caust.v2_010073-RA	3789	3528.67	339.405	3.67786
Caust.v2_010063-RB	543	283.372	99.1785	13.3828
Caust.v2_010069-RC	861	600.794	58	3.69138
Caust.v2_022129-RA	606	346.177	1342.26	148.261
Caust.v2_021677-RA	450	191.22	0	0
Caust.v2_018144-RA	648	388.065	0	0
Caust.v2_018142-RA	1713	1452.67	23.4209	0.616487
Caust.v2_019833-RA	261	39.9124	596	570.985
Caust.v2_018616-RA	2406	2145.67	1947	34.6968
Caust.v2_018617-RA	1476	1215.67	353.753	11.1268
Caust.v2_019811-RA	822	561.818	4	0.27224
Caust.v2_008733-RA	2061	1800.67	1587	33.7
Caust.v2_008711-RD	1050	789.671	3	0.145265
Caust.v2_008716-RA	2760	2499.67	933	14.272
Caust.v2_008718-RA	2004	1743.67	285	6.24982
Caust.v2_008713-RC	2985	2724.67	385	5.40299
Caust.v2_008713-RA	2985	2724.67	385	5.40299
Caust.v2_008727-RA	1377	1116.67	445	15.2378
Caust.v2_008715-RD	2157	1896.67	1013	20.4223
Caust.v2_008723-RA	240	33.5139	34	38.7919
Caust.v2_008736-RA	2124	1863.67	85	1.74396
Caust.v2_008724-RA	1863	1602.67	514	12.2633
Caust.v2_008715-RC	2490	2229.67	194.667	3.3384
Caust.v2_008729-RB	2958	2697.67	3.5	0.0496097
Caust.v2_008729-RA	2958	2697.67	3.5	0.0496097
Caust.v2_008725-RA	237	32.7417	181	211.38
Caust.v2_008711-RC	1050	789.671	3	0.145265
Caust.v2_008711-RA	1050	789.671	3	0.145265
Caust.v2_008719-RA	1380	1119.67	34	1.16112
Caust.v2_008735-RA	4020	3759.67	2031	20.656
Caust.v2_008713-RB	2985	2724.67	385	5.40299
Caust.v2_008732-RC	1548	1287.67	309.247	9.18305
Caust.v2_008712-RA	768	507.841	3	0.225881
Caust.v2_008714-RA	1881	1620.67	1065	25.1271
Caust.v2_008717-RA	1497	1236.67	3	0.0927586
Caust.v2_008715-RE	2157	1896.67	1013	20.4223
Caust.v2_008732-RA	1614	1353.67	233.877	6.60634
Caust.v2_008728-RA	201	27.7498	358	493.299
Caust.v2_008715-RA	2490	2229.67	194.667	3.3384
Caust.v2_008726-RA	486	226.78	361	60.868
Caust.v2_008732-RB	1614	1353.67	233.877	6.60634
Caust.v2_008730-RA	3675	3414.67	34	0.38073
Caust.v2_008734-RA	1017	756.671	695	35.1209
Caust.v2_008715-RB	2490	2229.67	194.667	3.3384
Caust.v2_008731-RA	3294	3033.67	1294	16.31
Caust.v2_008711-RB	1050	789.671	3	0.145265
Caust.v2_021760-RA	429	170.66	0	0
Caust.v2_019966-RA	1950	1689.67	0	0
Caust.v2_012988-RA	24711	24450.7	1289	2.01581
Caust.v2_012982-RA	531	271.451	557	78.4605
Caust.v2_012987-RA	699	438.954	10	0.8711
Caust.v2_012986-RA	753	492.851	6	0.465503
Caust.v2_012993-RA	252	36.928	0	0
Caust.v2_012983-RA	546	286.366	353.472	47.1977
Caust.v2_012983-RB	525	265.484	14.528	2.09245
Caust.v2_012990-RA	27609	27348.7	6917	9.67094
Caust.v2_012992-RA	507	247.563	43	6.64155
Caust.v2_012994-RA	1260	999.671	76.5	2.92612
Caust.v2_012985-RA	234	32.0384	1	1.19348
Caust.v2_018736-RA	333	83.3735	2	0.917252
Caust.v2_018735-RA	207	28.1455	0	0
Caust.v2_018737-RA	1107	846.671	7.74176	0.349633
Caust.v2_019969-RA	282	49.5245	1	0.772088
Caust.v2_013216-RA	759	498.841	0	0
Caust.v2_013194-RA	1287	1026.67	4.65266	0.173284
Caust.v2_013207-RA	198	27.4833	12	16.6955
Caust.v2_013214-RA	555	295.348	152	19.6787
Caust.v2_013206-RA	1071	810.671	1521	71.7417
Caust.v2_013217-RA	1884	1623.67	0	0
Caust.v2_013214-RB	1461	1200.67	246	7.83427
Caust.v2_013198-RA	495	235.691	68	11.032
Caust.v2_013202-RA	174	27.9877	40	54.6487
Caust.v2_013212-RA	198	27.4833	71	98.7818
Caust.v2_013196-RA	441	182.381	1	0.209656
Caust.v2_013210-RA	657	397.057	100	9.63018
Caust.v2_013208-RA	618	358.141	1	0.106766
Caust.v2_013199-RA	1128	867.671	1131.66	49.871
Caust.v2_016495-RA	2208	1947.67	165	3.23933
Caust.v2_016494-RA	1767	1506.67	32	0.812117
Caust.v2_017092-RA	309	65.9154	30	17.4029
Caust.v2_017094-RA	2574	2313.67	268	4.42915
Caust.v2_017091-RA	867	606.794	665	41.9051
Caust.v2_017090-RB	681	421.016	33.3709	3.0308
Caust.v2_017093-RA	1200	939.671	404	16.4397
Caust.v2_017090-RA	696	435.972	144.629	12.6848
Caust.v2_018368-RA	963	702.685	1821	99.0915
Caust.v2_018368-RB	1881	1620.67	1344	31.7097
Caust.v2_018721-RA	141	32.2373	477	565.778
Caust.v2_018723-RA	1308	1047.67	2211	80.6958
Caust.v2_018722-RA	1224	963.671	265.539	10.5363
Caust.v2_019591-RA	621	361.126	14	1.48237
Caust.v2_021208-RA	708	447.945	0	0
Caust.v2_020149-RA	1062	801.671	28.056	1.33819
Caust.v2_010950-RA	930	669.755	381	21.7519
Caust.v2_010932-RA	687	426.99	24	2.14922
Caust.v2_010939-RA	342	90.549	0	0
Caust.v2_010927-RA	2127	1866.67	889	18.2105
Caust.v2_010917-RA	1116	855.671	45.5	2.03326
