Def	NM_001280909.1
LOC100642370	XM_020863715.1
LOC100642372	XM_012311724.2
LOC100642373	XM_003398444.3
LOC100642374	XM_020864851.1
LOC100642375	XM_003398685.2
LOC100642376	XM_012314013.2
LOC100642377	XM_003399168.3
LOC100642378	XM_012314230.2
LOC100642379	XM_003399328.3
LOC100642381	XM_003399644.3
LOC100642382	XM_020865916.1
LOC100642383	XM_020866285.1
LOC100642384	XM_003400452.3
LOC100642385	XM_020866499.1
LOC100642386	XM_020866978.1
LOC100642387	XM_012317316.2
LOC100642388	XM_020867558.1
LOC100642389	XM_020867654.1
LOC100642390	XM_003402530.3
LOC100642391	XM_003403064.3
LOC100642392	XM_003403289.3
LOC100642393	XM_003393369.2
LOC100642394	XM_003393451.3
LOC100642395	XM_020867660.1
LOC100642396	XM_003393757.3
LOC100642397	XM_012320187.2
LOC100642398	XM_020868417.1
LOC100642399	XM_020868528.1
LOC100642401	XM_020863304.1
LOC100642402	XM_012310028.2
LOC100642403	XM_003396743.3
LOC100642404	XM_020864050.1
LOC100642405	XM_012311041.2
LOC100642406	XM_012311145.2
LOC100642408	XM_020864629.1
LOC100642409	XM_003398115.3
LOC100642411	XM_020865592.1
LOC100642412	XM_020865346.1
LOC100642413	XM_003399484.3
LOC100642414	XM_020865956.1
LOC100642415	XM_020866020.1
LOC100642416	XM_012315200.2
LOC100642417	XM_003400041.3
LOC100642418	XM_020866249.1
LOC100642419	XM_020866478.1
LOC100642420	XM_003400939.2
LOC100642421	XM_012316899.2
LOC100642422	XM_003401506.3
LOC100642423	XM_012317514.2
LOC100642424	XM_012317802.2
LOC100642425	XM_012317904.2
LOC100642426	XM_020867380.1
LOC100642427	XM_012318443.1
LOC100642428	XM_012318920.2
LOC100642429	XM_003402685.3
LOC100642431	XM_003402984.3
LOC100642432	XM_012310222.2
LOC100642433	XM_020862944.1
LOC100642434	XM_012320495.2
LOC100642435	XM_003393212.3
LOC100642436	XM_020867810.1
LOC100642437	XM_012316768.2
LOC100642438	XM_003393679.3
LOC100642439	XM_012320352.2
LOC100642440	XM_020862578.1
LOC100642441	XM_003394551.3
LOC100642442	XM_003394713.3
LOC100642443	XM_003394790.3
LOC100642444	XM_003394877.3
LOC100642445	XM_003395117.3
LOC100642446	XM_020862791.1
LOC100642447	XM_003395361.3
LOC100642448	XM_003395525.3
LOC100642449	XM_020863095.1
LOC100642450	XM_003395855.3
LOC100642451	XM_003396017.2
LOC100642452	XM_003396178.3
LOC100642453	XM_012310603.2
LOC100642454	XM_003396661.3
LOC100642455	XM_003397314.3
LOC100642456	XM_020864797.1
LOC100642457	XM_012312189.2
LOC100642458	XM_020864346.1
LOC100642459	XM_012312458.2
LOC100642460	XM_020864998.1
LOC100642461	XM_003398277.3
LOC100642462	XM_020865082.1
LOC100642463	XR_132158.3
LOC100642464	XM_012313858.2
LOC100642465	XM_012314190.2
LOC100642466	XM_003400122.3
LOC100642467	XM_020866541.1
LOC100642468	XM_003401022.3
LOC100642469	XM_012316979.2
LOC100642470	XM_020867251.1
LOC100642472	XM_020867722.1
LOC100642473	XM_003402455.3
LOC100642474	XM_012319322.2
LOC100642475	XM_012319718.2
LOC100642477	XM_003403363.2
LOC100642478	XM_012321234.2
LOC100642479	XM_012308770.2
LOC100642480	XM_020866244.1
LOC100642481	XM_003394161.3
LOC100642482	XM_003394394.3
LOC100642483	XM_012320940.2
LOC100642484	XM_012308126.2
LOC100642485	XM_003395284.3
LOC100642486	XM_012308383.1
LOC100642487	XM_020863482.1
LOC100642488	XM_020863323.1
LOC100642490	XM_003396825.2
LOC100642491	XM_020863713.1
LOC100642492	XM_020864113.1
LOC100642493	XM_012311684.2
LOC100642494	XM_012312833.2
LOC100642495	XM_012312986.2
LOC100642496	XM_020865493.1
LOC100642497	XM_020865427.1
LOC100642498	XM_020865490.1
LOC100642499	XM_020865643.1
LOC100642500	XM_012314368.2
LOC100642502	XM_020866481.1
LOC100642503	XR_002308336.1
LOC100642504	XM_003400612.3
LOC100642505	XM_020867109.1
LOC100642506	XM_003401428.3
LOC100642507	XM_012318280.2
LOC100642508	XM_020867795.1
LOC100642510	XM_012319973.2
LOC100642511	XM_012313211.2
LOC100642512	XM_012319447.2
LOC100642513	XM_020868418.1
LOC100642514	XM_012320432.2
LOC100642515	XR_001099801.2
LOC100642516	XM_012308871.2
LOC100642518	XM_020863998.1
LOC100642519	XM_020863551.1
LOC100642520	XM_012310917.2
LOC100642521	XM_003397071.2
LOC100642522	XM_020864251.1
LOC100642523	XM_012311432.2
LOC100642524	XM_003397552.3
LOC100642526	XM_020864919.1
LOC100642527	XM_020865515.1
LOC100642528	XM_003398763.3
LOC100642529	XM_012313604.2
LOC100642530	XM_020865402.1
LOC100642531	XM_012314607.2
LOC100642532	XM_012314955.2
LOC100642533	XM_020866022.1
LOC100642534	XM_012315201.2
LOC100642535	XM_020866141.1
LOC100642536	XM_012315635.2
LOC100642537	XM_003400778.3
LOC100642538	XM_012316637.2
LOC100642539	XM_003401101.3
LOC100642540	XM_012316936.2
LOC100642541	XM_003401586.3
LOC100642542	XM_012317615.2
LOC100642544	XM_020867409.1
LOC100642545	XM_003401982.3
LOC100642546	XM_012318448.2
LOC100642549	XM_003402985.3
LOC100642550	XM_003392814.3
LOC100642551	XM_012309462.2
LOC100642552	XM_003393133.2
LOC100642553	XM_020865227.1
LOC100642554	XM_003393290.2
LOC100642555	XM_020866299.1
LOC100642556	XM_020866331.1
LOC100642557	XM_003393997.3
LOC100642558	XM_012320431.2
LOC100642559	XM_020868537.1
LOC100642560	XM_003394714.3
LOC100642561	XM_012321367.2
LOC100642562	XM_003394878.3
LOC100642563	XM_003395118.2
LOC100642564	XM_012308324.2
LOC100642565	XM_020863282.1
LOC100642566	XM_003395526.3
LOC100642567	XM_012309271.1
LOC100642568	XM_003396018.3
LOC100642569	XM_012309638.1
LOC100642571	XM_012311370.2
LOC100642572	XM_020864381.1
LOC100642573	XM_020864761.1
LOC100642574	XM_020864490.1
LOC100642575	XM_020865056.1
LOC100642576	XM_012312527.2
LOC100642577	XM_012312646.2
LOC100642578	XM_020864996.1
LOC100642579	XM_003399011.3
LOC100642580	XM_020865474.1
LOC100642581	XM_020865980.1
LOC100642583	XM_003400453.3
LOC100642584	XM_003400534.3
LOC100642585	XM_003400858.3
LOC100642586	XM_020867093.1
LOC100642587	XM_003401182.3
LOC100642588	XM_020867306.1
LOC100642589	XM_012318568.2
LOC100642590	XM_003402373.3
LOC100642592	XM_012319730.2
LOC100642595	XM_012321215.2
LOC100642596	XM_012308732.2
LOC100642598	XM_003393842.3
LOC100642599	XM_020866549.1
LOC100642600	XM_003394162.3
LOC100642601	XM_020868630.1
LOC100642602	XM_003395039.3
LOC100642603	XM_020863101.1
LOC100642604	XM_003395936.3
LOC100642605	XM_020863322.1
LOC100642606	XM_012310634.2
LOC100642607	XM_012310165.2
LOC100642608	XM_003397235.3
LOC100642610	XM_012312836.1
LOC100642611	XM_020864834.1
LOC100642612	XM_012313345.2
LOC100642613	XM_003399091.3
LOC100642615	XM_003399247.3
LOC100642616	XM_020865330.1
LOC100642617	XM_020865826.1
LOC100642618	XM_003400370.3
LOC100642619	XM_003400613.3
LOC100642620	XM_020866780.1
LOC100642621	XM_003401347.3
LOC100642622	XM_003401429.3
LOC100642623	XM_003402066.3
LOC100642624	XM_003402761.3
LOC100642625	XM_020868084.1
LOC100642626	XM_012319978.2
LOC100642627	XM_020864895.1
LOC100642628	XM_003393603.3
LOC100642629	XM_020865746.1
LOC100642630	XM_020868419.1
LOC100642631	XM_020868663.1
LOC100642632	XM_020868708.1
LOC100642633	XM_003394958.3
LOC100642634	XM_003395610.3
LOC100642635	XM_020863152.1
LOC100642636	XM_020863535.1
LOC100642637	XM_012310401.2
LOC100642638	XM_020863562.1
LOC100642639	XM_012310934.2
LOC100642640	XM_003397072.3
LOC100642641	XM_020864158.1
LOC100642642	XM_003397315.3
LOC100642644	XM_003397553.3
LOC100642645	XM_012312142.1
LOC100642646	XM_012312419.2
LOC100642647	XM_012313242.2
LOC100642648	XM_003398764.3
LOC100642649	XM_003398846.3
LOC100642650	XM_012314447.2
LOC100642651	XM_020865785.1
LOC100642652	XM_020865924.1
LOC100642653	XM_003399888.3
LOC100642654	XM_020866212.1
LOC100642655	XM_020866179.1
LOC100642656	XM_003400211.3
LOC100642657	XM_020866282.1
LOC100642658	XM_003400701.3
LOC100642659	XM_020866629.1
LOC100642660	XM_012316641.2
LOC100642661	XM_003401102.3
LOC100642663	XM_003401587.3
LOC100642664	XM_012317797.2
LOC100642665	XM_020867254.1
LOC100642666	XM_003401983.3
LOC100642667	XM_012318452.2
LOC100642668	XM_020867699.1
LOC100642669	XM_020867825.1
LOC100642670	XM_012319601.2
LOC100642672	XM_003392815.3
LOC100642673	XM_003392894.3
LOC100642674	XM_012320513.2
LOC100642675	XM_012309992.2
LOC100642676	XM_012310961.2
LOC100642677	XM_012312830.1
LOC100642679	XM_003393998.3
LOC100642680	XM_003394244.3
LOC100642681	XM_012321166.2
LOC100642682	XM_020862700.1
LOC100642683	XM_003394792.3
LOC100642684	XM_020862613.1
LOC100642685	XM_020862635.1
LOC100642686	XM_020862648.1
LOC100642687	XM_020863292.1
LOC100642688	XM_003395445.3
LOC100642689	XM_012309273.2
LOC100642690	XM_012309523.1
LOC100642691	XM_003396179.3
LOC100642692	XM_020864020.1
LOC100642693	XM_012310292.2
LOC100642694	XM_020864382.1
LOC100642695	XM_003397877.2
LOC100642696	XM_003397955.3
LOC100642697	XM_012312484.2
LOC100642698	XM_012312525.2
LOC100642700	XM_012312746.2
LOC100642701	XM_003399012.3
LOC100642702	XM_012314828.2
LOC100642703	XM_012315988.2
LOC100642704	XM_003400535.3
LOC100642705	XM_012316397.2
LOC100642706	XM_012316827.2
LOC100642707	XM_003401183.3
LOC100642708	XM_003401668.2
LOC100642710	XM_012318581.2
LOC100642711	XM_003402374.3
LOC100642712	XM_012318878.2
LOC100642713	XM_003402688.3
LOC100642714	XM_020868073.1
LOC100642715	XM_003403225.3
LOC100642716	XM_020865308.1
LOC100642717	XM_003393843.1
LOC100642718	XM_020866276.1
LOC100642719	XM_012320610.2
LOC100642720	XM_003394396.3
LOC100642721	XM_020868507.1
LOC100642722	XM_003395040.3
LOC100642724	XM_012309201.2
LOC100642725	XM_020863445.1
LOC100642726	XM_003396344.3
LOC100642727	XM_003396827.3
LOC100642728	XM_012310729.2
LOC100642729	XM_003397236.3
LOC100642730	XM_003397635.3
LOC100642731	XM_003398447.3
LOC100642732	XM_012312992.2
LOC100642733	XM_003398930.3
LOC100642734	XM_020865485.1
LOC100642735	XM_012314102.2
LOC100642736	XM_003399248.3
LOC100642737	XM_012315266.2
LOC100642738	XR_001099285.2
LOC100642739	XM_020866343.1
LOC100642740	XM_003401265.3
LOC100642741	XM_003401348.3
LOC100642742	XM_003401430.3
LOC100642743	XM_003402762.3
LOC100642744	XM_020868110.1
LOC100642745	XM_003403292.3
LOC100642746	XR_132454.2
LOC100642747	XM_020864891.1
LOC100642748	XM_020867301.1
LOC100642749	XM_012319476.2
LOC100642751	XM_020868574.1
LOC100642752	XM_003394959.3
LOC100642753	XM_012308761.1
LOC100642754	XM_020863158.1
LOC100642755	XM_012308974.2
LOC100642756	XM_020863807.1
LOC100642757	XM_003396746.3
LOC100642758	XM_012310922.2
LOC100642759	XM_012311043.2
LOC100642760	XM_012311150.1
LOC100642762	XM_012311541.2
LOC100642763	XM_012311446.2
LOC100642764	XM_003397798.3
LOC100642766	XM_012313490.2
LOC100642767	XM_003398847.2
LOC100642769	XM_012314438.2
LOC100642770	XM_003399729.3
LOC100642771	XM_012315202.2
LOC100642772	XM_020866214.1
LOC100642774	XM_012315655.1
LOC100642775	XM_003400291.3
LOC100642776	XM_003400702.3
LOC100642777	XM_012316639.2
LOC100642778	XM_012316668.2
LOC100642779	XM_012316943.2
LOC100642780	XM_020867186.1
LOC100642781	XM_020867292.1
LOC100642782	XM_012317909.2
LOC100642785	XM_012318727.2
LOC100642786	XM_003402613.3
LOC100642787	XR_001099639.2
LOC100642788	XM_020867977.1
LOC100642789	XM_003402987.3
LOC100642790	XM_003392816.3
LOC100642791	XM_003392895.3
LOC100642792	XM_003393058.3
LOC100642793	XM_012320509.2
LOC100642794	XM_012310021.2
LOC100642795	XM_003393292.3
LOC100642796	XM_003393372.2
LOC100642797	XM_012318097.2
LOC100642798	XM_020868428.1
LOC100642799	XM_003394716.3
LOC100642800	XM_003394793.3
LOC100642801	XM_012307899.2
LOC100642802	XM_020862806.1
LOC100642803	XM_012309012.2
LOC100642804	XM_020863233.1
LOC100642805	XM_012309276.2
LOC100642806	XM_020863412.1
LOC100642807	XM_003396180.3
LOC100642808	XM_012309762.2
LOC100642809	XM_020863726.1
LOC100642810	XM_012311725.2
LOC100642811	XM_003397878.3
LOC100642813	XM_012312502.2
LOC100642814	XM_003398195.3
LOC100642815	XM_003398688.3
LOC100642816	XM_003399648.3
LOC100642817	XM_020866489.1
LOC100642818	XM_020866498.1
LOC100642819	XM_020866471.1
LOC100642820	XM_003401024.3
LOC100642821	XM_003401184.2
LOC100642822	XM_003401669.3
LOC100642823	XM_003402068.3
LOC100642825	XM_020867648.1
LOC100642826	XM_012318764.2
LOC100642827	XM_003402533.3
LOC100642828	XM_012319116.2
LOC100642829	XM_003403148.3
LOC100642830	XM_012319881.2
LOC100642832	XM_020864292.1
LOC100642833	XM_012314388.2
LOC100642834	XM_003393844.2
LOC100642835	XM_020866552.1
LOC100642836	XM_020868526.1
LOC100642837	XM_020868634.1
LOC100642838	XM_012320944.2
LOC100642839	XM_012321118.2
LOC100642841	XM_003395528.3
LOC100642842	XM_012309206.2
LOC100642843	XM_012309582.2
LOC100642844	XM_012310032.2
LOC100642845	XM_012310636.2
LOC100642846	XM_003396908.3
LOC100642847	XM_012311113.2
LOC100642848	XM_012311677.2
LOC100642849	XM_020864379.1
LOC100642850	XM_003398119.3
LOC100642851	XM_012312658.1
LOC100642852	XM_020865185.1
LOC100642853	XM_003398531.3
LOC100642854	XM_012313232.2
LOC100642855	XM_020865348.1
LOC100642856	XM_020865550.1
LOC100642857	XM_012314131.2
LOC100642858	XM_020865480.1
LOC100642859	XM_003399487.3
LOC100642860	XM_020865727.1
LOC100642861	XM_020866368.1
LOC100642862	XM_012316106.2
LOC100642863	XM_012316941.2
LOC100642864	XM_003401431.3
LOC100642865	XM_020867415.1
LOC100642867	XM_012319725.2
LOC100642868	XM_012319982.2
LOC100642870	XM_003393605.3
LOC100642871	XM_012319487.2
LOC100642872	XM_003393999.2
LOC100642873	XM_003394245.3
LOC100642874	XM_012320458.2
LOC100642875	XM_003394960.2
