Def	NM_001280909.1
LOC100644864	XM_020866823.1
LOC100644865	XM_003401686.3
LOC100644867	XM_003402393.2
LOC100644868	XM_012318827.1
LOC100644869	XM_020867926.1
LOC100644870	XM_012319587.2
LOC100644871	XM_003392833.2
LOC100644872	XM_012307735.2
LOC100644873	XM_020864056.1
LOC100644874	XM_020864426.1
LOC100644875	XM_012317020.2
LOC100644876	XM_003393775.3
LOC100644877	XM_003394179.2
LOC100644878	XM_003394263.3
LOC100644879	XM_012320443.2
LOC100644880	XM_012321273.2
LOC100644881	XM_012308153.2
LOC100644882	XM_012308251.2
LOC100644883	XM_020863192.1
LOC100644884	XM_012308515.2
LOC100644885	XM_003395545.3
LOC100644886	XM_003395714.3
LOC100644887	XM_003395799.3
LOC100644888	XM_003396680.3
LOC100644889	XM_020864117.1
LOC100644890	XM_012311173.2
LOC100644891	XM_012311555.2
LOC100644892	XM_003397490.3
LOC100644893	XM_020864362.1
LOC100644894	XM_020864468.1
LOC100644895	XM_012312085.2
LOC100644896	XM_003398136.3
LOC100644897	XM_003398211.3
LOC100644898	XM_020865188.1
LOC100644899	XM_020864821.1
LOC100644900	XM_003398783.3
LOC100644901	XM_003399109.3
LOC100644902	XM_012314627.2
LOC100644903	XM_012315217.2
LOC100644904	XM_012315669.2
LOC100644905	XM_020866431.1
LOC100644906	XM_003400719.2
LOC100644907	XM_003400796.3
LOC100644908	XM_003401041.2
LOC100644909	XM_003402549.2
LOC100644910	XM_012318951.2
LOC100644911	XM_012319562.2
LOC100644912	XM_020868215.1
LOC100644913	XM_003403311.3
LOC100644914	XM_003403378.2
LOC100644915	XM_020865035.1
LOC100644916	XM_012314373.2
LOC100644917	XM_020868393.1
LOC100644918	XM_012320310.1
LOC100644919	XM_012320397.2
LOC100644920	XM_003394415.3
LOC100644921	XM_003394492.3
LOC100644922	XM_003394572.3
LOC100644923	XM_012307761.2
LOC100644924	XM_003395958.3
LOC100644925	XM_003396361.3
LOC100644926	XM_020863610.1
LOC100644927	XM_020863960.1
LOC100644928	XM_003396844.3
LOC100644929	XM_003397254.3
LOC100644930	XM_003397331.3
LOC100644931	XM_020864420.1
LOC100644935	XM_003399188.2
LOC100644936	XR_001099199.2
LOC100644937	XM_003399582.3
LOC100644938	XM_020865777.1
LOC100644939	XM_003399979.3
LOC100644940	XM_003400061.3
LOC100644941	XM_012315943.2
LOC100644942	XM_012316904.2
LOC100644943	XM_012317115.2
LOC100644944	XM_012317190.2
LOC100644945	XM_012317013.1
LOC100644946	XM_012317546.2
LOC100644947	XM_003401762.2
LOC100644948	XM_020867428.1
LOC100644949	XM_003402083.3
LOC100644950	XM_003403005.3
LOC100644951	XM_020864550.1
LOC100644952	XM_003393233.2
LOC100644953	XM_020863311.1
LOC100644954	XM_012315472.1
LOC100644955	XM_020867947.1
LOC100644956	XM_012320515.2
LOC100644957	XM_012307719.1
LOC100644958	XM_012307920.2
LOC100644959	XM_012308017.2
LOC100644960	XM_012308344.2
LOC100644961	XM_003395381.3
LOC100644962	XM_012308788.2
LOC100644963	XM_020863352.1
LOC100644964	XM_012309537.2
LOC100644965	XM_012310732.2
LOC100644966	XM_003396598.3
LOC100644967	XM_012310745.2
LOC100644968	XM_020864089.1
LOC100644969	XM_012312856.2
LOC100644970	XM_012313251.2
LOC100644971	XM_012313627.1
LOC100644972	XM_012313904.2
LOC100644973	XM_020865632.1
LOC100644974	XM_012314385.2
LOC100644975	XM_003399666.3
LOC100644976	XM_020866039.1
LOC100644977	XM_012315549.2
LOC100644978	XM_003400472.3
LOC100644979	XM_020866574.1
LOC100644980	XM_020866694.1
LOC100644981	XM_020866874.1
LOC100644982	XM_012317007.2
LOC100644983	XM_012317713.2
LOC100644984	XM_003401846.3
LOC100644985	XM_020867694.1
LOC100644986	XM_003402474.2
LOC100644987	XM_020867935.1
LOC100644988	XM_003402853.3
LOC100644989	XM_003402932.2
LOC100644990	XM_003403166.3
LOC100644991	XM_003392834.3
LOC100644992	XM_020862651.1
LOC100644993	XM_020864169.1
LOC100644995	XM_003393620.3
LOC100644996	XM_020866888.1
LOC100644997	XM_020868675.1
LOC100644998	XM_020862591.1
LOC100644999	XM_012320633.2
LOC100645000	XM_003395138.3
LOC100645001	XM_012308477.1
LOC100645002	XM_003395466.3
LOC100645003	XM_020863283.1
LOC100645004	XM_003396117.3
LOC100645005	XM_012310444.2
LOC100645006	XM_003397007.3
LOC100645007	XM_020864231.1
LOC100645008	XM_012311554.2
LOC100645009	XR_001098961.2
LOC100645011	XM_012311907.2
LOC100645012	XM_020864470.1
LOC100645013	XM_020864515.1
LOC100645014	XM_012312436.2
LOC100645015	XM_012312554.2
LOC100645016	XM_020865116.1
LOC100645018	XM_003398784.3
LOC100645019	XM_020865670.1
LOC100645020	XM_012314038.2
LOC100645021	XM_020865987.1
LOC100645022	XM_012315225.2
LOC100645023	XM_020866315.1
LOC100645024	XM_012316170.2
LOC100645025	XM_003400720.3
LOC100645026	XM_003400797.3
LOC100645027	XM_020867073.1
LOC100645028	XM_003401448.3
LOC100645029	XM_020867394.1
LOC100645030	XM_020867554.1
LOC100645031	XM_020867610.1
LOC100645032	XM_020867798.1
LOC100645033	XM_012318952.2
LOC100645034	XM_020867884.1
LOC100645035	XM_003403086.3
LOC100645036	XM_020868218.1
LOC100645037	XM_012320009.2
LOC100645038	XM_003403379.3
LOC100645039	XM_012309033.2
LOC100645040	XM_003393463.3
LOC100645041	XM_003393541.3
LOC100645042	XM_003393859.1
LOC100645043	XM_003394416.3
LOC100645044	XM_012320953.2
LOC100645045	XM_012321196.2
LOC100645046	XM_020862817.1
LOC100645047	XM_012310055.2
LOC100645049	XM_012310651.2
LOC100645050	XM_012311291.2
LOC100645051	XM_012311329.2
LOC100645052	XM_012311999.2
LOC100645053	XM_020865041.1
LOC100645054	XM_003398296.3
LOC100645056	XM_020866075.1
LOC100645057	XM_020866059.1
LOC100645059	XM_012315361.2
LOC100645060	XM_012315284.2
LOC100645061	XM_012315452.2
LOC100645062	XM_003400390.2
LOC100645064	XM_020866950.1
LOC100645065	XM_020867449.1
LOC100645066	XM_020867512.1
LOC100645067	XM_012319626.2
LOC100645068	XM_012311453.1
LOC100645070	XR_002308471.1
LOC100645071	XM_012320189.2
LOC100645072	XM_003394098.3
LOC100645073	XM_020862830.1
LOC100645074	XM_020862666.1
LOC100645075	XM_012308260.2
LOC100645076	XM_003395382.3
LOC100645077	XM_003395547.3
LOC100645078	XM_012309118.1
LOC100645079	XM_012309306.2
LOC100645080	XM_020863345.1
LOC100645081	XM_012309772.2
LOC100645082	XM_020863767.1
LOC100645083	XM_003396599.3
LOC100645084	XM_003396925.3
LOC100645087	XM_003398381.3
LOC100645089	XM_012313259.1
LOC100645090	XM_012313365.2
LOC100645091	XM_012313628.2
LOC100645092	XM_003399031.3
LOC100645093	XM_020865634.1
LOC100645094	XM_012314397.2
LOC100645095	XM_003399667.3
LOC100645096	XM_012315134.2
LOC100645097	XM_020866320.1
LOC100645098	XM_003400473.3
LOC100645099	XM_003400634.3
LOC100645100	XM_012316583.2
LOC100645101	XM_003401203.3
LOC100645102	XM_020867284.1
LOC100645103	XM_012317917.2
LOC100645104	XM_012318799.2
LOC100645105	XM_003402475.3
LOC100645106	XM_003402780.3
LOC100645107	XM_012319393.2
LOC100645109	XM_020868161.1
LOC100645110	XM_003392835.3
LOC100645111	XM_003392992.3
LOC100645112	XM_012310450.2
LOC100645113	XM_012313067.2
LOC100645114	XM_020866374.1
LOC100645115	XM_003394018.3
LOC100645116	XM_012320660.2
LOC100645117	XM_020868674.1
LOC100645118	XM_003395139.3
LOC100645119	XM_003395306.3
LOC100645120	XM_003395467.2
LOC100645121	XM_020862960.1
LOC100645122	XM_003396118.3
LOC100645123	XM_020863781.1
LOC100645124	XM_020863602.1
LOC100645125	XM_003396682.3
LOC100645126	XM_003396765.3
LOC100645127	XM_012310950.2
LOC100645128	XM_003397492.3
LOC100645129	XM_012312258.1
LOC100645130	XM_020864969.1
LOC100645131	XM_012312560.2
LOC100645132	XM_020865117.1
LOC100645133	XM_003398785.3
LOC100645134	XM_012313759.2
LOC100645135	XM_020865600.1
LOC100645137	XM_020866203.1
LOC100645138	XM_012316158.2
LOC100645139	XM_020866332.1
LOC100645140	XM_012316842.2
LOC100645141	XM_012317111.2
LOC100645142	XM_003401449.3
LOC100645143	XM_012317547.2
LOC100645144	XM_003401764.3
LOC100645145	XM_012318252.2
LOC100645146	XM_003402239.2
LOC100645147	XM_012318587.2
LOC100645149	XM_020867834.1
LOC100645151	XM_012319753.2
LOC100645153	XM_020868245.1
LOC100645154	XM_012320139.2
LOC100645155	XM_003392915.3
LOC100645156	XM_020865031.1
LOC100645157	XM_020868020.1
LOC100645158	XM_012318194.2
LOC100645159	XM_003394417.3
LOC100645160	XM_003394494.3
LOC100645161	XM_012321200.2
LOC100645162	XM_003394650.3
LOC100645163	XM_003394813.3
LOC100645164	XM_003396363.3
LOC100645165	XM_003396846.3
LOC100645167	XM_020864060.1
LOC100645168	XM_012312001.2
LOC100645169	XM_012312624.2
LOC100645170	XM_012312671.2
LOC100645172	XM_012314675.2
LOC100645173	XM_003399981.3
LOC100645174	XM_020866155.1
LOC100645175	XM_012315865.2
LOC100645176	XM_012316804.2
LOC100645177	XM_020866773.1
LOC100645178	XM_012318094.2
LOC100645179	XM_020868141.1
LOC100645180	XM_003393235.3
LOC100645181	XM_020864522.1
LOC100645182	XM_012317127.2
LOC100645183	XM_003393700.3
LOC100645184	XM_012320304.1
LOC100645185	XM_012320518.2
LOC100645186	XM_003394266.3
LOC100645187	XM_012307724.2
LOC100645188	XM_020862760.1
LOC100645189	XM_012308325.2
LOC100645190	XM_020862624.1
LOC100645191	XM_003395383.2
LOC100645193	XM_012308361.2
LOC100645194	XM_012308896.2
LOC100645195	XM_020863350.1
LOC100645196	XM_020863946.1
LOC100645197	XM_012310742.2
LOC100645198	XM_003396926.3
LOC100645199	XM_003397092.3
LOC100645200	XM_012311175.2
LOC100645201	XM_020864618.1
LOC100645202	XM_020864447.1
LOC100645203	XM_003397817.3
LOC100645204	XM_020864520.1
LOC100645205	XM_012312764.2
LOC100645206	XM_012312857.2
LOC100645207	XM_003398705.3
LOC100645208	XM_020865657.1
LOC100645209	XM_020865349.1
LOC100645210	XM_020865320.1
LOC100645211	XM_003399668.3
LOC100645212	XM_020866014.1
LOC100645213	XM_020865775.1
LOC100645214	XM_003399908.3
LOC100645216	XM_003400146.3
LOC100645218	XM_003400635.3
LOC100645219	XM_012316268.2
LOC100645220	XM_012316533.2
LOC100645221	XM_020867127.1
LOC100645222	XM_003401689.3
LOC100645223	XM_020867316.1
LOC100645224	XM_012317926.2
LOC100645225	XM_003402396.3
LOC100645226	XM_003402476.3
LOC100645227	XM_020867945.1
LOC100645228	XM_020868044.1
LOC100645229	XM_003403380.2
LOC100645230	XM_012313034.1
LOC100645231	XM_020863132.1
LOC100645232	XM_012310455.2
LOC100645233	XM_012313082.1
LOC100645234	XM_003393464.3
LOC100645235	XM_012319676.2
LOC100645236	XM_012320403.1
LOC100645237	XM_012320663.2
LOC100645238	XM_003394342.3
LOC100645239	XM_012308154.2
LOC100645240	XM_003395140.3
LOC100645241	XM_012308482.2
LOC100645242	XM_003395468.3
LOC100645243	XM_003395802.3
LOC100645244	XM_012309401.2
LOC100645245	XM_012309920.2
LOC100645246	XM_012310093.2
LOC100645247	XM_003396683.3
LOC100645248	XM_020863564.1
LOC100645249	XM_012310952.2
LOC100645250	XM_003397256.3
LOC100645251	XM_012311585.2
LOC100645252	XM_003397654.3
LOC100645253	XM_012312240.2
LOC100645254	XM_020864970.1
LOC100645255	XM_020864831.1
LOC100645256	XM_020865105.1
LOC100645257	XM_020865347.1
LOC100645258	XM_012313764.2
LOC100645259	XM_020865596.1
LOC100645261	XM_012316081.1
LOC100645262	XM_020866333.1
LOC100645263	XM_003401204.3
LOC100645264	XM_012317117.2
LOC100645265	XM_012317358.2
LOC100645266	XM_012317548.2
LOC100645267	XM_020867209.1
LOC100645268	XM_020867516.1
LOC100645269	XM_020867611.1
LOC100645270	XM_012318588.2
LOC100645271	XM_020867799.1
LOC100645272	XM_012318960.2
LOC100645274	XM_003403088.3
LOC100645275	XM_003403241.3
LOC100645276	XM_012320014.2
LOC100645277	XM_003392916.3
LOC100645278	XM_003393076.3
LOC100645279	XM_020868063.1
LOC100645280	XM_012320312.1
LOC100645281	XM_003394418.3
LOC100645282	XM_020868658.1
LOC100645283	XM_020868453.1
LOC100645285	XM_012309416.2
LOC100645286	XM_012310057.2
LOC100645287	XM_012310312.2
LOC100645288	XM_003396847.3
LOC100645289	XM_003397334.2
LOC100645290	XM_003397735.2
LOC100645291	XR_002308122.1
LOC100645292	XM_003398298.3
LOC100645293	XM_020865223.1
LOC100645294	XM_012313654.2
LOC100645295	XM_020865633.1
LOC100645296	XM_020865986.1
LOC100645297	XM_012314754.2
LOC100645298	XM_012315363.2
LOC100645299	XM_012315455.2
LOC100645301	XM_020866624.1
LOC100645303	XM_012316928.2
LOC100645304	XM_003402005.3
LOC100645305	XM_012319400.2
LOC100645307	XM_020868155.1
LOC100645308	XM_020863682.1
LOC100645309	XM_003393313.3
LOC100645310	XM_012317110.2
LOC100645311	XM_012315501.2
LOC100645312	XM_020868359.1
LOC100645313	XM_012320517.2
LOC100645314	XM_012320769.2
LOC100645315	XM_003394736.3
LOC100645318	XM_003394980.3
LOC100645319	XM_020862777.1
LOC100645320	XM_012308465.2
LOC100645321	XM_020863068.1
LOC100645322	XM_012308898.2
LOC100645324	XM_020863407.1
LOC100645325	XM_012309775.2
LOC100645327	XM_003396927.3
LOC100645328	XM_012310854.2
LOC100645329	XM_020864234.1
LOC100645330	XM_012311557.2
LOC100645331	XM_012311674.2
LOC100645332	XM_012312161.2
LOC100645334	XM_003398383.3
LOC100645335	XM_012312861.2
LOC100645336	XM_020865538.1
LOC100645337	XM_020865662.1
LOC100645338	XM_003399033.3
LOC100645340	XM_003399427.3
LOC100645341	XM_012314868.1
LOC100645342	XM_020866015.1
LOC100645343	XM_020866057.1
LOC100645344	XM_012315234.2
LOC100645345	XM_020866318.1
LOC100645346	XM_020866563.1
LOC100645347	XM_012316586.2
LOC100645348	XM_012316642.2
LOC100645349	XM_003401045.3
LOC100645350	XM_003401371.3
LOC100645351	XM_012317725.2
LOC100645352	XM_020867233.1
LOC100645354	XM_003402087.3
LOC100645355	XM_012318802.2
LOC100645356	XM_020867762.1
LOC100645357	XM_012319357.2
LOC100645358	XM_020868318.1
LOC100645359	XM_012307772.2
LOC100645360	XM_012310491.2
LOC100645362	XM_003393465.3
LOC100645363	XM_003393779.3
LOC100645364	XM_012320401.2
LOC100645365	XM_003394182.3
LOC100645366	XM_020868547.1
LOC100645367	XM_020862905.1
LOC100645368	XM_012308254.2
LOC100645369	XM_012308544.2
LOC100645370	XM_012308386.2
LOC100645371	XM_003395803.3
LOC100645372	XM_012309403.2
LOC100645373	XM_003396284.3
LOC100645374	XM_020864002.1
LOC100645375	XM_003396684.3
LOC100645376	XM_003396767.3
LOC100645377	XM_012310951.2
LOC100645378	XM_020864598.1
LOC100645379	XM_020864483.1
LOC100645380	XM_003397976.3
LOC100645381	XM_012312443.1
LOC100645382	XM_012312563.2
LOC100645383	XM_003398787.3
LOC100645384	XM_020865665.1
LOC100645385	XM_020866210.1
LOC100645386	XM_012316168.2
LOC100645387	XM_012316517.2
LOC100645388	XM_003401286.3
LOC100645389	XM_012317360.2
LOC100645390	XM_012317555.2
LOC100645391	XM_012317813.2
LOC100645392	XM_020867613.1
LOC100645393	XM_003402317.3
LOC100645394	XM_003402633.2
LOC100645396	XM_012319646.2
LOC100645397	XM_012319904.2
LOC100645398	XM_012320015.2
LOC100645399	XM_003392917.3
LOC100645400	XM_012309125.2
LOC100645401	XM_020868078.1
LOC100645402	XM_003393862.1
LOC100645403	XM_003394419.3
LOC100645404	XM_012320957.2
LOC100645405	XM_003394576.3
LOC100645406	XM_012321272.2
LOC100645407	XM_020863022.1
LOC100645408	XM_003396365.3
LOC100645409	XM_020863746.1
LOC100645411	XM_020864164.1
LOC100645412	XM_003397736.3
LOC100645413	XM_020864511.1
LOC100645414	XM_012312643.2
LOC100645415	XM_003398299.3
LOC100645416	XM_020865228.1
LOC100645417	XM_020865579.1
LOC100645419	XM_012314761.2
LOC100645421	XM_020866175.1
LOC100645422	XM_003400393.3
LOC100645423	XM_020867091.1
LOC100645424	XM_003401529.3
LOC100645425	XR_132325.3
LOC100645426	XM_020867431.1
LOC100645428	XM_003402856.3
LOC100645429	XM_012319596.2
LOC100645430	XM_003403381.1
LOC100645431	XM_020863844.1
LOC100645432	XM_012311512.2
LOC100645433	XM_020867445.1
LOC100645434	XM_003393702.3
LOC100645435	XM_003393940.2
LOC100645436	XM_012320516.2
LOC100645437	XM_020862592.1
LOC100645438	XM_020862908.1
LOC100645439	XM_012307759.2
LOC100645440	XM_003394900.3
LOC100645441	XM_003394981.3
LOC100645442	XM_003395223.3
LOC100645443	XM_003395551.3
LOC100645444	XM_012308899.2
LOC100645445	XM_012309381.2
LOC100645446	XM_020863950.1
LOC100645447	XM_012310115.2
LOC100645448	XM_012310751.2
LOC100645449	XM_020864114.1
LOC100645450	XM_003397259.3
LOC100645451	XM_003397414.2
LOC100645452	XM_012311800.2
LOC100645453	XM_003398384.3
LOC100645454	XM_003398469.3
LOC100645455	XM_020864826.1
LOC100645456	XM_020865370.1
LOC100645457	XM_020865318.1
LOC100645458	XM_003399114.3
LOC100645459	XM_020865377.1
LOC100645460	XM_003399428.3
LOC100645461	XM_003399670.3
LOC100645462	XM_012315011.2
LOC100645463	XM_012315214.2
LOC100645464	XM_012315557.2
LOC100645465	XM_003400637.2
LOC100645466	XM_020866504.1
LOC100645467	XR_132274.3
LOC100645468	XM_020866825.1
LOC100645469	XM_003401206.3
LOC100645470	XM_012317206.2
LOC100645471	XM_012317772.2
LOC100645472	XM_003402088.3
LOC100645473	XM_012318253.2
LOC100645474	XM_020867698.1
LOC100645475	XM_003402478.2
LOC100645476	XM_020868167.1
LOC100645477	XM_012307791.2
LOC100645478	XR_002307696.1
LOC100645479	XM_012314279.2
LOC100645480	XM_012320296.1
LOC100645481	XM_003394021.3
LOC100645482	XM_003394183.3
LOC100645483	XM_003394343.3
LOC100645484	XM_003395142.3
LOC100645485	XM_020863139.1
LOC100645486	XM_020863277.1
LOC100645487	XM_003395804.3
LOC100645488	XM_003395961.3
LOC100645489	XM_003396121.3
LOC100645490	XM_012310783.2
LOC100645491	XM_003396685.3
LOC100645492	XM_012310561.2
LOC100645493	XM_012310953.2
LOC100645494	XM_020864350.1
LOC100645495	XM_003397656.3
LOC100645496	XM_003397977.3
LOC100645497	XM_012312440.2
LOC100645498	XM_020865407.1
LOC100645499	XM_012314133.2
LOC100645500	XM_020866206.1
LOC100645501	XM_012315956.2
LOC100645502	XM_003400800.3
LOC100645503	XM_020867048.1
LOC100645505	XM_012317557.2
LOC100645506	XM_003401767.3
LOC100645507	XM_003401929.3
LOC100645508	XM_012318590.2
LOC100645509	XM_020867893.1
LOC100645510	XM_020868222.1
LOC100645511	XM_012320016.2
LOC100645512	XM_012320134.2
LOC100645514	XM_003393314.3
LOC100645515	XM_003393545.3
LOC100645516	XM_012318551.2
LOC100645517	XM_003394420.3
LOC100645518	XM_020868494.1
LOC100645519	XM_003394577.2
LOC100645521	XM_012309317.2
LOC100645522	XM_012310058.2
LOC100645523	XM_020863735.1
LOC100645524	XM_003396849.2
LOC100645525	XM_003397336.3
LOC100645527	XM_020864476.1
LOC100645528	XM_003397899.3
LOC100645530	XM_012312371.2
LOC100645531	XM_020865317.1
LOC100645532	XM_020865523.1
LOC100645533	XM_003399587.3
LOC100645534	XM_020866056.1
LOC100645535	XM_003399984.3
LOC100645536	XM_020866234.1
LOC100645537	XM_012315459.2
LOC100645538	XM_012315877.2
LOC100645539	XM_012316649.2
LOC100645540	XM_012316830.2
LOC100645541	XM_003401530.2
LOC100645542	XM_012317726.2
LOC100645543	XM_012318131.2
LOC100645544	XM_012318902.2
LOC100645545	XR_002308787.1
LOC100645546	XM_020868035.1
LOC100645547	XM_003402936.3
LOC100645548	XM_020868159.1
LOC100645549	XM_003403382.3
LOC100645550	XM_003392836.3
LOC100645551	XM_012310540.2
LOC100645552	XM_003393703.2
LOC100645554	XM_012320522.2
LOC100645555	XM_003394269.3
LOC100645556	XM_003394901.3
LOC100645558	XM_003395719.3
LOC100645559	XM_012309576.2
LOC100645560	XM_003396202.3
LOC100645561	XM_012309922.2
LOC100645562	XM_012310784.2
LOC100645563	XM_012310827.2
LOC100645564	XM_020864789.1
LOC100645565	XM_012312381.1
LOC100645566	XM_020865233.1
LOC100645567	XM_003398954.3
LOC100645568	XM_003399351.2
LOC100645569	XM_003399672.3
LOC100645570	XM_012315012.2
LOC100645571	XM_003399911.3
LOC100645572	XM_020866108.1
LOC100645573	XM_012316183.2
LOC100645574	XM_012316121.1
LOC100645575	XM_003400883.3
LOC100645576	XM_012316869.2
LOC100645577	XM_003401207.3
LOC100645578	XM_020867110.1
LOC100645579	XM_003401851.3
LOC100645580	XM_003402089.3
LOC100645581	XM_020867608.1
LOC100645582	XM_003402479.3
LOC100645583	XM_020863099.1
LOC100645584	XM_003393467.2
LOC100645585	XM_012319757.2
LOC100645586	XM_003394022.3
LOC100645587	XM_003394184.3
LOC100645588	XM_020868546.1
LOC100645589	XM_012308027.2
LOC100645590	XM_012308255.2
LOC100645591	XM_003395310.3
LOC100645592	XM_012308794.2
LOC100645593	XM_012308994.2
LOC100645594	XM_020863514.1
LOC100645595	XM_003396686.3
LOC100645596	XM_020864027.1
LOC100645597	XM_003397012.2
LOC100645598	XM_003397175.3
LOC100645599	XM_020864808.1
LOC100645600	XM_003397657.3
LOC100645601	XM_003397978.3
LOC100645602	XM_020864971.1
LOC100645603	XM_012313513.2
LOC100645605	XM_003399272.3
LOC100645606	XM_012314632.2
LOC100645607	XM_012315962.2
LOC100645608	XM_003400801.3
LOC100645609	XM_020867071.1
LOC100645610	XR_132298.3
LOC100645611	XM_003401768.3
LOC100645612	XM_020867862.1
LOC100645613	XM_020867929.1
LOC100645614	XM_012319905.2
LOC100645615	XM_020868246.1
LOC100645616	XM_012320160.2
LOC100645617	XM_012309068.2
LOC100645618	XM_012310890.2
LOC100645619	XM_020864486.1
LOC100645620	XM_003393546.2
LOC100645621	XM_003393625.3
LOC100645623	XM_020868607.1
LOC100645624	XM_012320958.2
LOC100645625	XM_003394578.3
LOC100645626	XM_012307722.2
LOC100645628	XM_003395063.3
LOC100645630	XM_012309324.2
LOC100645631	XM_012310061.1
LOC100645632	XM_012310314.2
LOC100645633	XM_020863607.1
LOC100645635	XM_020864154.1
LOC100645636	XM_012311371.1
LOC100645638	XM_020864475.1
LOC100645639	XM_003397900.3
LOC100645642	XM_020864882.1
LOC100645643	XM_012312862.2
LOC100645644	XM_012313151.2
LOC100645645	XM_003398634.3
LOC100645646	XM_020865627.1
LOC100645647	XM_012313687.2
LOC100645648	XM_003399429.3
LOC100645649	XM_020866065.1
LOC100645650	XM_012315143.2
LOC100645651	XM_012315369.2
LOC100645652	XM_020866243.1
LOC100645654	XM_012315878.2
LOC100645655	XM_003400966.3
LOC100645656	XM_020867130.1
LOC100645657	XM_020866910.1
LOC100645658	XM_003401693.3
LOC100645659	XM_003402008.3
LOC100645660	XM_012318961.2
LOC100645661	XM_012319394.2
LOC100645662	XM_020868019.1
LOC100645663	XM_012319549.2
LOC100645664	XM_012319756.1
LOC100645665	XM_012319593.2
LOC100645666	XM_012313531.2
LOC100645667	XM_012310567.2
LOC100645668	XM_012315539.2
LOC100645669	XM_020868420.1
LOC100645670	XM_003394270.2
LOC100645672	XM_003395225.3
LOC100645673	XM_003395472.3
LOC100645674	XM_012309547.1
LOC100645675	XM_003396123.3
LOC100645676	XM_003396203.3
LOC100645677	XM_020863829.1
LOC100645678	XM_003396443.3
LOC100645679	XM_012310781.2
LOC100645680	XM_003397096.3
LOC100645681	XM_003398386.3
LOC100645682	XM_012313173.2
LOC100645683	XM_012313763.2
LOC100645684	XM_003399352.2
LOC100645685	XM_012314688.2
LOC100645686	XM_012315230.2
LOC100645687	XM_020866090.1
LOC100645689	XM_020866601.1
LOC100645690	XM_003400639.3
LOC100645691	XM_012316537.2
LOC100645692	XM_020866717.1
LOC100645693	XM_003401374.3
LOC100645694	XM_012317365.2
LOC100645695	XM_012317551.2
LOC100645696	XM_012317806.2
LOC100645697	XM_003401930.3
LOC100645698	XM_012318473.2
LOC100645699	XM_012318591.1
LOC100645700	XM_020867763.1
LOC100645701	XM_003393395.3
LOC100645702	XM_003393468.3
LOC100645703	XM_012319724.2
LOC100645704	XM_003394023.3
LOC100645705	XM_020868465.1
LOC100645706	XM_003394345.3
LOC100645707	XM_003394655.3
LOC100645708	XM_012308029.2
LOC100645709	XM_003395144.3
LOC100645710	XM_020863189.1
LOC100645711	XM_020862986.1
LOC100645712	XM_020863021.1
LOC100645713	XM_003395806.3
LOC100645715	XM_003396687.3
LOC100645716	XM_003396770.3
LOC100645717	XM_020863571.1
LOC100645719	XM_003397176.3
LOC100645720	XM_020864217.1
LOC100645721	XM_003397496.3
LOC100645722	XM_012312260.2
LOC100645723	XM_012312442.2
LOC100645725	XM_012313640.2
LOC100645726	XM_012313910.2
LOC100645727	XM_003399273.3
LOC100645728	XM_003400314.3
LOC100645729	XM_003400477.3
LOC100645730	XM_003400802.3
LOC100645731	XM_003401769.3
LOC100645732	XM_020867565.1
LOC100645733	XM_012318809.2
LOC100645734	XM_012318905.2
LOC100645735	XM_003402712.3
LOC100645737	XM_012320018.2
LOC100645738	XM_003392920.3
LOC100645740	XM_003393239.3
LOC100645741	XM_012311342.2
LOC100645742	XM_020867645.1
LOC100645743	XM_012317079.2
LOC100645744	XM_003393865.2
LOC100645745	XM_020866655.1
LOC100645746	XM_012321017.2
LOC100645747	XM_020862601.1
LOC100645748	XM_003394740.3
LOC100645749	XM_012307757.1
LOC100645750	XM_003395064.3
LOC100645751	XM_012308467.2
LOC100645753	XM_003396367.3
LOC100645754	XM_003396605.3
LOC100645755	XM_020863658.1
LOC100645756	XM_020864300.1
LOC100645757	XM_012311564.1
LOC100645758	XM_020864349.1
LOC100645759	XM_020864674.1
LOC100645760	XM_003397822.3
LOC100645762	XM_012312655.1
LOC100645763	XM_012312568.2
LOC100645765	XM_003398470.3
LOC100645766	XM_020865573.1
LOC100645767	XM_003399116.3
LOC100645768	XM_003399195.3
LOC100645769	XM_020865802.1
LOC100645770	XM_003399588.3
LOC100645771	XM_020866067.1
LOC100645772	XM_020865805.1
LOC100645773	XM_012315367.1
LOC100645774	XM_020866520.1
LOC100645775	XM_020867052.1
LOC100645776	XM_012316705.2
LOC100645777	XR_002308477.1
LOC100645778	XM_020867123.1
LOC100645779	XM_012318134.2
LOC100645780	XM_003402169.2
LOC100645781	XM_012318965.2
LOC100645782	XM_012319366.2
LOC100645783	XM_020868153.1
LOC100645784	XM_012319759.2
LOC100645785	XM_012319814.1
LOC100645787	XM_003392839.3
LOC100645788	XM_012309585.2
LOC100645789	XM_003393705.3
LOC100645790	XM_012320765.2
LOC100645791	XM_012307842.2
LOC100645792	XM_020863234.1
LOC100645793	XM_012309362.2
LOC100645794	XM_020863843.1
LOC100645795	XM_020863669.1
LOC100645796	XM_012310181.2
LOC100645797	XM_020863606.1
LOC100645798	XM_003397097.3
LOC100645799	XM_003397658.2
LOC100645800	XM_003398387.3
LOC100645801	XM_020865503.1
LOC100645802	XM_003398956.3
LOC100645803	XM_020865582.1
LOC100645804	XM_020866004.1
LOC100645805	XM_012315013.2
LOC100645806	XM_020865880.1
LOC100645807	XM_012315558.2
LOC100645808	XM_012315680.2
