target_id	length	eff_length	est_counts	tpm
NM_001077816.1	1530	1272.2	0	0
NM_001077817.1	1194	936.196	2	0.195097
NM_001077818.1	1707	1449.2	0	0
NM_001077819.1	378	123.953	16.4198	12.0976
NM_001077821.1	4097	3839.2	0	0
NM_001077822.1	1533	1275.2	0	0
NM_001077823.2	516	258.692	690.903	243.906
NM_001077824.1	1842	1584.2	0	0
NM_001077825.1	1158	900.196	2	0.202899
NM_001079560.1	1607	1349.2	2	0.135376
NM_001079561.1	1701	1443.2	0	0
NM_001080094.2	2123	1865.2	3	0.146887
NM_001080095.1	1590	1332.2	0	0
NM_001080110.1	2703	2445.2	618.634	23.1051
NM_001080205.1	2713	2455.2	279.39	10.3923
NM_001083630.1	1713	1455.2	63.2496	3.96939
NM_001085345.1	1491	1233.2	21200	1569.97
NM_001085346.1	509	251.714	41696.1	15127.8
NM_001097154.2	1766	1508.2	2617.35	158.486
NM_001098167.1	767	509.373	418.417	75.0172
NM_001098214.1	1863	1605.2	0	0
NM_001098215.2	2635	2377.2	58.9639	2.26522
NM_001098217.1	2187	1929.2	5.11836	0.242294
NM_001098218.1	2148	1890.2	67.9981	3.28532
NM_001098219.1	2139	1881.2	3.35776	0.163006
NM_001098220.1	1806	1548.2	0	0
NM_001098221.1	1763	1505.2	0	0
NM_001098223.1	1436	1178.2	123	9.53401
NM_001098224.2	1333	1075.2	693	58.8618
NM_001098228.1	1286	1028.2	88.5291	7.86318
NM_001098229.1	1284	1026.2	156	13.883
NM_001098232.1	1146	888.196	161.709	16.627
NM_001098234.1	462	205.037	42	18.707
NM_001098717.1	2199	1941.2	141	6.63342
NM_001101023.1	3033	2775.2	193.145	6.35589
NM_001104949.1	3122	2864.2	5.73068	0.182722
NM_001110712.2	754	496.373	66	12.1429
NM_001110764.1	2606	2348.2	390	15.1676
NM_001112670.1	3330	3072.2	153.218	4.5546
NM_001112672.2	1701	1443.2	30.5727	1.93462
NM_001113285.1	2779	2521.2	4.7314	0.171384
NM_001113739.1	1509	1251.2	287.845	21.0098
NM_001114188.1	1950	1692.2	0	0
NM_001114198.1	730	472.373	4414	853.364
NM_001115078.1	2659	2401.2	96.4653	3.66886
NM_001123013.2	6157	5899.2	261.585	4.04956
NM_001126243.2	2949	2691.2	2058.19	69.8437
NM_001126244.1	1674	1416.2	107	6.89999
NM_001131037.1	1164	906.196	0	0
NM_001131038.1	2722	2464.2	425	15.7508
NM_001134227.1	1704	1446.2	0	0
NM_001134371.1	591	333.556	193	52.8416
NM_001134668.1	2541	2283.2	881	35.2388
NM_001134669.1	584	326.614	2	0.559221
NM_001134722.1	105	37.3894	0	0
NM_001134828.1	1495	1237.2	1386.85	102.371
NM_001134934.1	3281	3023.2	34	1.02707
NM_001134940.1	1464	1206.2	0	0
NM_001134942.1	1621	1363.2	278	18.6241
NM_001134943.1	1434	1176.2	0	0
NM_001134947.1	1760	1502.2	43	2.61415
NM_001134948.1	3181	2923.2	651.609	20.3572
NM_001134949.1	3346	3088.2	1118.88	33.0878
NM_001134950.1	2295	2037.2	162.651	7.29143
NM_001135735.1	1032	774.196	4567	538.726
NM_001135905.1	488	230.829	313.648	124.091
NM_001136187.1	614	356.496	558	142.945
NM_001136206.1	1002	744.196	4	0.490863
NM_001136207.1	930	672.196	8	1.08688
NM_001136208.1	1008	750.196	1	0.121734
NM_001141964.1	2248	1990.2	4807.07	220.583
NM_001142436.1	1295	1037.2	271.329	23.8904
NM_001142461.1	824	566.279	220	35.4797
NM_001142561.1	1943	1685.2	256.881	13.921
NM_001142607.1	642	384.464	43	10.2141
NM_001142609.1	1671	1413.2	11.2077	0.72427
NM_001142637.1	999	741.196	36	4.43565
NM_001142656.2	710	452.373	3.99228	0.805957
NM_001142693.1	1386	1128.2	0	0
NM_001143878.1	1377	1119.2	9.11382	0.743674
NM_001143879.1	1428	1170.2	0	0
NM_001143880.1	1470	1212.2	0	0
NM_001143921.1	2102	1844.2	122.598	6.07106
NM_001144839.2	596	338.542	602.094	162.42
NM_001145735.2	1347	1089.2	48.7346	4.0862
NM_001145736.1	2424	2166.2	20.7463	0.874643
NM_001145737.1	2433	2175.2	2.12593	0.0892563
NM_001145738.1	2787	2529.2	6.02508	0.217555
NM_001145739.1	2553	2295.2	0	0
NM_001145740.1	3633	3375.2	30	0.811727
NM_001159303.1	1404	1146.2	1.03326	0.0823266
NM_001159355.1	2782	2524.2	390.193	14.1171
NM_001160048.1	2747	2489.2	3518	129.07
NM_001160050.1	2417	2159.2	46586	1970.39
NM_001160052.1	2920	2662.2	3963	135.948
NM_001160064.1	2844	2586.2	10344	365.271
NM_001160072.1	2237	1979.2	3549	163.759
NM_001160270.1	698	440.412	1040.58	215.777
NM_001160405.2	2980	2722.2	472.319	15.8454
NM_001161709.2	856	598.279	656	100.135
NM_001162398.1	165	28.9311	162	511.373
NM_001162513.1	4073	3815.2	7.12177	0.170474
NM_001162516.1	1758	1500.2	33.869	2.06178
NM_001163463.1	481	223.878	491	200.289
NM_001163712.1	1155	897.196	115.946	11.8021
NM_001163714.1	1566	1308.2	2861.39	199.753
NM_001163715.1	854	596.279	803	122.986
NM_001163716.1	900	642.253	522.818	74.3417
NM_001163717.1	2152	1894.2	134.117	6.46616
NM_001164008.1	2209	1951.2	210	9.82893
NM_001164809.1	503	245.736	40	14.8655
NM_001164810.1	871	613.253	386	57.4825
NM_001165904.1	5715	5457.2	1.32596	0.0221896
NM_001165905.1	6135	5877.2	75.0942	1.16688
NM_001165906.1	3754	3496.2	636.423	16.6241
NM_001167709.1	732	474.373	108	20.7918
NM_001167720.1	599	341.542	0	0
NM_001167836.1	1455	1197.2	18	1.37308
NM_001167893.1	1135	877.196	772	80.3727
NM_001168336.1	1053	795.196	156	17.9159
NM_001168425.1	1144	886.196	465	47.9194
NM_001168700.1	993	735.196	4.44125	0.551683
NM_001170972.1	1128	870.196	454	47.646
NM_001170973.1	1131	873.196	11507	1203.48
NM_001170974.1	1454	1196.2	3546.69	270.775
