CA_N_007	CA_N_012	CA_N_030	CA_P_013	CA_P_041	CA_P_055	CA_SL_019	CA_SL_048	CA_SL_056	CA_SM_029	CA_SM_039	CA_SM_049
Caust.v2_003569	5418	4339	4445	5417	3561	4424	4357	5435	3945	3964	3920	5908
Caust.v2_003570	1239	1259	1352	1370	1107	1213	1439	1864	1257	1119	1301	1698
Caust.v2_003571	2787.999	1826.001	1968.999	2679.999	1628.001	2508.999	3471.99	3780.99	1802.001	2048.001	2219.001	5408.01
Caust.v2_003572	523	719	613	1054	819	412	392	668	592	507	613	485
Caust.v2_003573	661	540	576	724	526	593	594	810	605	536	581	758
Caust.v2_003574	1329	1191	1051.12	1557.22	950.423	909	1070.13	1537.19	1162	1119.23	1074	1205.76
Caust.v2_003575	1474	1057	1178	1024	828	1414	1799	1863	1219	1047	978	2362
Caust.v2_003576	2997	2589	2246	2516	2321	2285	1996	2512	2222	1764	2052	2541
Caust.v2_003577	1551.999	884.001	1077	1343.001	863.001	1161	1307.001	1662.999	906.999	978.999	968.001	1916.001
Caust.v2_003578	1418	541	885	992	522	1082	1524	1593	814	879	779	2480
Caust.v2_003579	574	428	600	569	389	523	689	795	473	416	486	932
Caust.v2_003580	187.674	366.531	378	593.172	383	180.189	128	282.791	274.063	212.732	290.888	207.225
Caust.v2_003581	6389	3173	4048	4346	2254	5476	7570	8067	4510	5362	4414	10411
Caust.v2_003582	1349	1590	1137	1398	976	1032	1372	1651	945	907	1022	1709
Caust.v2_003583	419.001	372	366.999	591.999	411	263.0001	339.999	399.999	392.001	393.999	339.999	353.001
Caust.v2_003584	1458	1072	1315	1304	939	1253	1259	1753	1205	1160	1000	1705
Caust.v2_003585	1314	688	905	1030	616	923	1164	1376	689	823	860	1313
Caust.v2_003586	53.8946	42.4457	58.059	45.5876	33.4296	29.479	34.2435	30.7139	22	42.9485	40.8723	66.7129
Caust.v2_003587	682.105	270.554	555.941	645.412	171.57	514.521	329.757	385.286	153	570.052	263.128	610.287
Caust.v2_003588	2379	1184	1785	1873	1006	2245	2829	3293	1585	2077	1682	4333
Caust.v2_003589	51	23	83	28	26	14	71	48.8864	37	33	31	36
Caust.v2_003590	1318	1181	1203	1517	1170	936	1166	1316	1082	1002	1038	1218
Caust.v2_003591	3241	4747	3648	4977	3809	4092	4384	5708	4730	3822	4086	4876
Caust.v2_003592	213	176	188	161	218	218	150	173	182	170	184	183
Caust.v2_003593	2864	3545	3868	4039	3476	3854	4283	5191	3569	3498	5017	5947
Caust.v2_003594	907	630	916	735	693	853	639	1081	965	855	684	771
Caust.v2_003595	2801.999	2004	2499.001	2595.001	2252.999	2314.001	2484	2832.999	2058	2091.999	2152.001	3154
Caust.v2_003596	123	37	59	77	51	49	40	47	53	45	49	42
Caust.v2_003597	1923	1327	1534	2033	1079	1516	1780	2337	1267	1605	1380	2436
Caust.v2_003598	440	287	388	331	278	478	405	519	344	279	295	460
Caust.v2_003599	8512.01	7786.99	8124	8999.01	7698	6908.99	5724	8793.01	8733.01	6881.99	7642.99	6437.01
Caust.v2_003600	1795	966	1277	1326	835	1435	1886	2461	1297	1251	1184	2473
Caust.v2_003601	18.601	636.088	240.096	427.644	644.179	24.1722	11.1821	264.259	387.952	14.1964	0	86.2973
Caust.v2_003602	2993.75	2436.93	3033.71	3234.69	2264.69	2551.37	2571.33	3644.39	2262.17	2498.83	2293.89	4194.44
Caust.v2_003603	45	85	71	63	55	12	25	30	45	54	23	16
Caust.v2_003604	9	2	6	8	4	5	5	10	8	5	9	2
Caust.v2_003605	4	1	7	2	5	4	0	4	6	5	2	0
Caust.v2_003606	62.9066	50.5774	52.9064	38.7131	39.4543	37.5736	24.606	50.6059	67.5083	23.3618	39.6073	30
Caust.v2_003607	10.3571	12	6.46872	3.28689	9	10	3.39398	3	6.39065	2.30422	5.39273	10
Caust.v2_003608	4566	7862	4460	6136	5254	5775	6509	10499	5483	6490	4632	10005
Caust.v2_003609	1088	1099	1093	1132	835	885	997	1167	848	817	863	1106
Caust.v2_003610	318	177	181	286	129	215	262	308	177	171	170	377
Caust.v2_003611	963	944	1026	1397	755	754	1222	1389	867	820	1010	2097
Caust.v2_003614	321.139	384.917	298.039	588.05	232.298	317.458	266.564	594.428	264.473	341.265	406.13	523.794
Caust.v2_003615	1945.67	1676.74	1940.35	2485.34	1439.68	1802.13	2141.54	2293.52	1597.02	1619.6	2019.46	2744.26
Caust.v2_003618	264	234	180	214	294	250	206	243	189	201	208	206
Caust.v2_003619	3823	1510	2702	2372	1360	3443	4534	4908	2610	2236	2095	5832
Caust.v2_003620	1110	686	1100	1048	856	1099	1253	1619	901	913	866	1672
Caust.v2_003621	4	1	3	0	0	2	0	2	4	2	2	1
Caust.v2_003622	20	30	12	25	24	20	2	10	29	28	26	24
Caust.v2_003623	12	64	23	42	16	13	12	48	26	27	50	12
Caust.v2_003624	2	6	3	0	1	0	2	1	6	2	0	0
Caust.v2_003625	311	219	180	330	282	177	216	249	271	187	253	338
Caust.v2_003626	1653.999	1173	1490.001	1584	1253.001	1658.001	1559.001	1989.999	1622.001	1218.999	1374.999	2091.999
Caust.v2_003627	955	571	758	771	546	875	1079	1161	765	653	673	1437
Caust.v2_003628	4406	3536	3744	4504	3514	3901	3497	4564	3560	3243	3222	4488
Caust.v2_003629	4714	3851	3974	4881	3253	4551	6079	6974	4001	4139	4005	8628
Caust.v2_003630	7374.005	2938.003	4258.003	4768.997	2642.003	6000.002	7952	9501	4951.002	4745.996	4309.004	10573
Caust.v2_003631	1	2.5	3.5	1	2	0.5	3	2.5	3.5	1	1.5	2.5
Caust.v2_003632	1427	842	1061	1366	913	1505	3009	3060	1176	1014	1203	6725
Caust.v2_003633	713	418	581	525	294	556	950	836	443	406	423	1008
Caust.v2_003634	336	185	288	218	161	319	367	470	274	215	212	461
Caust.v2_003635	977	1009	911	1121	1012	935	734	896	1018	717	949	624
Caust.v2_003636	2188	2095	2115	2716	1868	2083	2314	2890	2001	1900	2312	2777
Caust.v2_003637	833	279	486	512	241	658	1189	1130	477	459	488	2339
Caust.v2_003638	187	161	177	208	117	185	397	371	153	153	163	540
Caust.v2_003639	9371	6627	7056	10208	6405	7512	7149	10575	7100	7080	6276	11093
Caust.v2_003640	490	283	242	436	236	319	391	513	297	363	378	379
Caust.v2_003641	462.999	302.001	464.001	401.001	261	462	440.001	459.999	404.001	398.001	360	647.001
Caust.v2_003642	941.075	647.633	683.702	1028.08	492.007	803.115	975.659	1361.67	605	729.514	674.822	1486.82
Caust.v2_003643	1394	755	1154	1047	986	1093	847	964	972	805	868	996
Caust.v2_003644	121	97	102	115	94	146	172	182	99	94	125	195
Caust.v2_003645	630	444	437	674	381	403	392	548	418	466	532	484
Caust.v2_003646	7	8	3	3	7	5	2	12	5	8	4	6
Caust.v2_003647	11	10	10	12	9	11	11	6	9	10	21	11
Caust.v2_003648	1071	449	680	828	389	752	760	940	419	657	640	1051
Caust.v2_003649	1178.0026	975.0006	1197.99752	1037.0002	907.0002	1118.0046	802.9996	1006.9998	1339.9956	1020.00014	1044.9996	1033.9998
Caust.v2_003653	3959	2233	3284	2550	1745	3589	3438	4390	2854	2716	2408	4918
Caust.v2_003654	3080	13797	5650	12403	7685	5465	7908	23561	6016	17973	26821	16202
Caust.v2_003655	89	131	80	130	67	76	20	44	65	97	63	73
Caust.v2_003656	1443.9977	770.0001	908.9996	1123.003	520.9996	942.9999	1309.9977	1471.0036	724.9995	821.0004	813.9996	2355.9967
Caust.v2_003672	3	3	2	14	6	1	0	4	6	2	3	1
Caust.v2_003673	59	50	89	55	58	56	37	54	50	67	42	39
Caust.v2_003688	464	247	313	322	229	338	759	551	333	312	302	739
Caust.v2_003689	879	824	904	937	745	800	979	1166	763	741	799	939
Caust.v2_003690	473.599	223.937	328.096	398.247	279.716	394.998	459.822	530.056	306.108	363.608	333.753	691.945
Caust.v2_003691	99	69	84	34	22	59	106	76	24	63	54	82
Caust.v2_003694	103	53	85	81	84	58	24	53	89	69	61	17
Caust.v2_003695	20	31	27	33	35	62	50	13	66	58	50	12
Caust.v2_003697	52	75	90	155	82	147	16	34	121	40	52	31
Caust.v2_003698	388.256	385.568	413.978	413.189	371.017	462.354	379.243	459.883	400.883	336.504	378.699	488.229
Caust.v2_003699	678	433	536	546	387	565	573	742	437	438	400	660
Caust.v2_003700	991.575	574.484	817.64	829	539	944	837	1322.42	710	717.077	802.567	753
Caust.v2_003701	1247	1959	1543	2111	1739	1983	2101	3116	2298	2052	2206	1936
Caust.v2_003702	523	269	423	395	293	345	488	583	358	364	327	578
Caust.v2_003703	734.2974	586.9997	709.0001	767.9998	553.99999	683.00027	745.9999	990.9996	703.1928	687.6081	619	809.9996
Caust.v2_003706	1359.87	4045.28	2069.7	6203.65	2437.83	1324.78	2173.08	3079.56	2764.14	2564.51	3260.83	1695.21
Caust.v2_003707	60	110	59	121	73	56	49	60	77	59	86	36
Caust.v2_003708	17.1872	1.77816	30.678	5.40928	7.26307	30.023	51	26.0913	3.64645	15.7469	12.8949	45.3661
Caust.v2_003709	225	100	125	178.589	92	217	115.527	187	161	143	174	159
Caust.v2_003710	2135	1616	2123	1614	1197	1795	1754	2006	1514	1443	1445	1747
Caust.v2_003711	2158	1476	1701	1702	1235	1882	1757	2073	1414	1500	1544	2144
Caust.v2_003712	228	90	106	205	83	136	168	133	114	142	138	107
Caust.v2_003714	0	1	0	1	0	0	0	0	2	0	0	0
Caust.v2_003716	445	272	269	458	287	296	562	708	486	425	308	692
Caust.v2_003718	63	19	19	42	16	16	39	41	39	15	32	30
Caust.v2_003720	3	5	2	0	1	2	3	8	6	0	6	2
Caust.v2_003721	554	554	389	827	467	390	610	810	618	603	563	492
Caust.v2_003722	1369	836	1343	1187	927	1356	1547	1531	1053	957	1070	1766
Caust.v2_003723	147	80	120	111	82	123	99	180	93	107	89	163
Caust.v2_003724	251	211	190	209	133	146	235	235	181	145	176	336
Caust.v2_003725	0	4	5	1.0897	4	3	1	4	2	4	1	1
Caust.v2_003728	1	3	0	2	0	0	0	0	0	0	0	0
Caust.v2_003729	0	0	0	0	1	0	0	0	0	2	0	0
Caust.v2_003730	1	0	0	0	0	0	0	0	3	0	0	0
Caust.v2_003732	1	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003733	3.3081	0	3.57849	3	4	2.58813	4	0	7	3.88535	7	1
Caust.v2_003734	0	0	0	0	1	0	0	0	0	0	1	0
Caust.v2_003735	0	2	7	6	0	6	1	0	0	1	1	1
Caust.v2_003736	0	0	2	0	1	0	2	0	0	0	1	0
Caust.v2_003737	6	706	293.275	1840.43	675.188	63	8	93.4389	113	72	349.901	52
Caust.v2_003738	0	0	0	7	1.04865	0	0	2.28136	0	0	2.09896	0
Caust.v2_003739	6272.0160186	6888.00390008867	8412.9921726	7364.995871	10234.01809	6538.00549	2970.9987	3648.99952904876	9348.0008	6195.0125567321	5776.98309014553	2540
Caust.v2_003740	29	5	40	19	41	11	20	12	12	10	26	11
Caust.v2_003741	400	182	230	232	289	250	100	345	316	174	187	133
Caust.v2_003742	216	324	148	352	307	141	122	218	259	136	147	108
Caust.v2_003743	2320	1373	1208	1643	1564	1341	549	1980	1431	1081	1337	749
Caust.v2_003745	102	89	99	124	71	46	37	96	79	104	80	35
Caust.v2_003750	17	3	7	4	2	1	0	19	3	1	0	1
Caust.v2_003751	7	14	5	21	6	11	8	108	8	67	21	8
Caust.v2_003756	1238	339	1131	561	954	1017	120	630	660	675	530	176
Caust.v2_003757	3	3	6	8	2	22	17	26	5	5	6	17
Caust.v2_003758	1209	1080	1199	1289	1101	1163	1251	1688	1087	981	1081	2156
Caust.v2_003759	398	298.5	349	376	301.5	374.5	415.5	528.5	290.5	299	350	395
Caust.v2_003760	222.5	84.5	180.5	128	78.5	175.5	196.5	236.5	147.5	126.5	101.5	267
Caust.v2_003761	11.6667	20.6667	16.6667	33.6667	27.3333	11.6667	21.3333	8	13.3333	17.3333	9.66667	5.33333
Caust.v2_003762	1482	3442	1458.004	4585	2915.001	872	1257	874.0001	1881	1259.003	1743.997	864
Caust.v2_003764	65	47	58	48	59	21	23	62	64	22	44	35
Caust.v2_003765	50	74	67	58	59	38	37	55	75	30	56	59
Caust.v2_003767	66	91	94	84	76	97	74	103	86	61	90	112
Caust.v2_003768	10607	10964	11165	12851	10306	10029	11839	12809	9872	10348	10036	8577
Caust.v2_003769	236	97	211	116	160	222	181	210	192	157	152	204
Caust.v2_003770	347	87	240	218	100	350	1250	818	221	190	202	1790
Caust.v2_003771	3396	9669	11974	9375	14123	6088	4741	6299	6630	4935	9648	5032
Caust.v2_003773	0	2	0	0	0	0	0	0	0	0	0	0
Caust.v2_003774	40	20	44	21	12	19	43	40	17	25	40	48
Caust.v2_003778	994	405	645	639	249	777	1011	997	546	577	581	1452
Caust.v2_003784	4.46738	0	1.19717	3.24233	4.31172	1.06056	2.1314	2.16524	1.09407	1.09717	2.22952	1.1024
Caust.v2_003785	820.533	808	676.803	820.758	573.688	638.939	1133.87	1098.83	587.906	567.903	706.77	1453.9
Caust.v2_003786	2082.999	980.001	1533	1289.001	864.999	1649.001	2231.001	2340.999	1352.001	1305.999	1218	2841.999
Caust.v2_003787	537	273	483	482	248	541	868	946	379	422	415	1060
Caust.v2_003788	173	69	152	81	63	242	135	114	257	82	113	111
Caust.v2_003789	156	65	72	92	47	448	158	173	327	89	96	180
Caust.v2_003790	683	1228	815	2414	730	1146	633	1879	1749	1439	1349	623
Caust.v2_003791	3	3	1	6	4	3	1	10	18	8	5	3
Caust.v2_003796	721.228	286.286	608.115	348.239	236.208	657.82	417.456	479.96	359.875	485.978	376.656	388.421
Caust.v2_003800	19	12	24	27	13	12	16	11	10	13	20	17
Caust.v2_003801	799	720	802	1378	1127	637	481	490	663	608	717	561
Caust.v2_003803	1907	1143	1680	1624	1077	1705	2122	1981	1501	1249	1276	3008
Caust.v2_003804	5	17	9	4	6	7	9	20	11	4	12	17
Caust.v2_003806	452	189	162	341	207	342	377	496	299	298	333	693
Caust.v2_003807	786	866	1957	1246	832	843	7263	1226	764	1122	1559	1014
Caust.v2_003808	1400	767	936	1010	669	1212	1221	1817	1056	874	964	1643
Caust.v2_003809	771	498	579	623	372	758	663	1004	673	603	468	779
Caust.v2_003810	2176	1142	1557	1620	891	2046	2462	2980	1468	1772	1720	3117
Caust.v2_003811	818	826	789	1103	679	650	683	821	606	595	666	771
Caust.v2_003812	1526	834	1124	1338	673	918	1236	1402	914	1128	1028	1108
Caust.v2_003813	279	289	350	371	331	357	383	421	371	205	377	356
Caust.v2_003814	470	210	117	142	110	286	414	197	236	235	215	207
Caust.v2_003815	710	3457	1569	1927	1238	828	863	1227	1227	1282	1457	2135
Caust.v2_003816	188	281	213	321	196	282	309	341	220	326	283	290
Caust.v2_003817	1972	1010	1308	1619	1204	1427	1139	1794	1229	1232	1206	1786
Caust.v2_003818	7301	5993	8733	9123	8425	5502	4522	4779	5277	5691	5632	6539
Caust.v2_003820	3536	2662.96	3243.92	3971	2911.88	3034	2578.92	3666.94	2921	2963	2670.88	3358.86
Caust.v2_003822	3792	2321	2854	2340	1955	2410	2527	3405	2486	2593	2076	2904
Caust.v2_003823	800	627	828	799	657	869	779	905	576	848	663	1056
Caust.v2_003824	531.844	342.953	391.919	456.953	393	388	401.754	469	449	394.922	366	512.818
Caust.v2_003825	8.15561	3.04687	3.08103	4.04719	7	8	10.2458	4	10	6.07767	0	9.18215
Caust.v2_003827	6	7	0	7	4	6	1	6	9	7	6	5
Caust.v2_003829	1268	1347	1259.77	1831.32	1091	1337.42	1278.55	1701.37	1089	1247.63	1393	1372.47
Caust.v2_003830	3428	2279	2777	2551	2582	2215	1046	1992	2137	1882	1642	1198
Caust.v2_003831	4	9	6	9	15	22	4	13	16	9	18	3
Caust.v2_003833	1049	1031	1039	1230	942	938	1174	1346	1124	921	902	1200
Caust.v2_003834	12246	7169	8873	11316	6939	10221	12273	15726	9832	9950	8739	15041
Caust.v2_003835	1248.18	732	1042	1164	604	1009	1389	1456	756	959	953	1571
Caust.v2_003836	1460	1117	1393	1396	955	1295	1363	1563	1120	1091	1202	1624
Caust.v2_003837	1708	1599	1668	2048	1647	1676	1968	2476	1579	1486	1922	2905
Caust.v2_003838	1737	1501	1610	1967	1398	1573	1542	2222	1365	1429	1648	2179
Caust.v2_003839	1202	994	888	1255	956	1137	1507	1329	1027	918	1116	1366
Caust.v2_003840	517	486	475	596	396	481	636	662	435	339	568	808
Caust.v2_003841	1967	1652	1688	2010	1258	1693	1945	2354	1546	1304	1494	2474
Caust.v2_003842	1572	950	1458	1102	853	1162	1171	1528	1040	1008	1025	1702
Caust.v2_003843	402	290	346	329	243	279	360	456	290	303	318	470
Caust.v2_003844	700	413	487	593	419	447	486	641	411	476	435	701
Caust.v2_003845	1105	985	1180	1176	958	961	965	1200	1052	965	1100	1108
Caust.v2_003846	870	493	656	748	464	629	837	910	482	580	592	1367
Caust.v2_003847	1193	852	979	1036	892	1196	1142	1494	1085	728	844	1734
Caust.v2_003848	384.088	128.761	311.295	250.965	100.903	459.123	1204.08	1226.61	230.77	241.11	300.925	1986.11
Caust.v2_003849	14.9121	9.23885	38.7045	4.03459	10.0973	9.8766	81.9158	86.3927	28.2301	23.89	21.0746	75.8942
Caust.v2_003850	699	347	509	474	332	561	726	798	443	403	446	963
Caust.v2_003851	498	343	407	387	362	412	434	505	398	314	413	541
Caust.v2_003852	2670	1486	2010	1776	1239	2261	2338	3182	1566	1721	1728	2742
Caust.v2_003853	1726	1521	1545	1595	1595	1746	1546	2436	1702	1384	1642	2068
Caust.v2_003854	2389	1557	1816	2117	1311	1806	2320	2492	1686	1803	1744	3311
Caust.v2_003855	3325	7435	4680	7745	6529	5448	4958	8541	7202	4897	8331	6019
Caust.v2_003856	2014	1130	1635	1354	1022	1718	1493	1633	1515	1566	1263	1468
Caust.v2_003857	227	168	161	167	174	327	122	157	344	176	170	134
Caust.v2_003858	3422	1939	2126	3046	1821	2053	2300	3103	2298	2309	2144	2367
Caust.v2_003859	1482	1925	1991	1869	1888	1596	1369	2074	1660	1453	1939	1550
Caust.v2_003860	1601.001	1804.001	1793	2588.001	2025	1415.999	2173.001	2610.999	1461	1291.999	1770.999	2895.001
Caust.v2_003861	654.999	471.999	555	621.999	495	596.001	737.001	938.001	450	480	498	807
Caust.v2_003862	1250	897	991	1309	948	938	911	1179	888	828	906	1599
Caust.v2_003863	113	89	72	123	78	85	35	126	79	59	88	64
Caust.v2_003864	972	680	1001	902.464	699	921	924	981	814	739	755	1095
Caust.v2_003865	0	0	0	7.53553	0	0	0	0	0	0	0	0
Caust.v2_003866	738	571	705	604	604	780	861	892	791	538	599	831
Caust.v2_003867	848.852	500.083	847.913	523.039	384.666	877.482	935.218	1219.27	732.355	554.273	561.066	1419.35
Caust.v2_003868	787	699	674	810	595	626	983	953	697	549	656	1372
Caust.v2_003869	209	158	160	153	94	148	325	264	171	312	230	143
Caust.v2_003870	9006	15362.01	11073.99	14889.99	14001.99	11018.01	9753	14460.99	12953.01	10284.99	13853.01	12020.01
Caust.v2_003871	696	459	511	625	405	610	972	925	438	462	524	1412
Caust.v2_003872	6562	5499	6500	7005	5314	4788	4319	6059	5778	5052	5510	5282
Caust.v2_003873	548.557	184.008	356.068	338.834	119.647	392.061	531.757	809.218	343.781	295.129	199.381	972.346
Caust.v2_003874	100.04	35.7417	69.6943	72.1404	55.3151	43.9496	39.3703	92.2593	56.7797	45.9813	68.8793	49.8042
Caust.v2_003875	0	8	4	2	2	3	1	3	3	3	0	0
Caust.v2_003879	1	1	4	10	10	5	1	6	7	5	3	0
Caust.v2_003881	0	0	0	0	0	1.08167	0	1.46808	0	1.14138	0	0
Caust.v2_003883	49.2362	49.3806	38.3032	56.9918	59.418	25.478	17.0833	31.563	52.5395	48.1362	33.973	29.427
Caust.v2_003889	1	0	0	1	0	1	0	0	0	0	0	0
Caust.v2_003891	605.7639	665.6192	569.6967	783.0078	699.5817	493.4398	243.9168	425.9691	681.4614	462.7222	504.027	308.5733
Caust.v2_003892	842	616	508	833	444	457	412	551	656	600	612	489
Caust.v2_003904	0	0	0	4	0	0	1	0	3	0	0	0
Caust.v2_003905	0	0	0	2	1	1	1	1	5	2	0	0
Caust.v2_003908	542	334	433	418	302	423	699	690	382	405	369	1047
Caust.v2_003909	1563	1346.001	1512	2112.999	1874.001	1239	1371.999	1628.001	1629.999	1169.001	1545.999	1401.999
Caust.v2_003910	1492	1055	1315	1651	930	1309	1767	1862	1160	1135	1081	1692
Caust.v2_003911	5857	5080	6682	5410	4994	5327	5380	6723	5051	4917	4810	6500
Caust.v2_003912	2578	10847	8444	16274	8622	3985	3970	7808	9402	6731	9386	5300
Caust.v2_003913	1619	5837	4747	9971	5921	3942	3289	7703	7250	5809	5797	3364
Caust.v2_003914	4809	2066	3058	4161	1809	5744	10935	11812	3175	4663	3350	20071
Caust.v2_003915	436	332	388	536	318	343	378	471	342	322	360	518
Caust.v2_003916	1858	1697	2003	1895	1522	2839	1330	2119	3436	1614	1495	2191
Caust.v2_003917	211	95	211	125	73	220	373	407	130	114	148	490
Caust.v2_003918	455	211	314	281	214	331	405	465	296	285	275	300
Caust.v2_003919	9462	7281	10070	7957	7029	7558	7289	9272	6984	7229	6745	8689
Caust.v2_003920	208	150	227	184	170	230	211	275	195	134	162	313
Caust.v2_003921	198	82	141	119	65	135	142	141	107	140	105	168
Caust.v2_003922	1294	967	889	987	534	935	1109	990	678	931	779	1014
Caust.v2_003923	4	8	16	2	2	7	9	5	3	3	5	4
Caust.v2_003924	604.866	286.023	195.508	240.481	189.175	183.831	185.94	190.686	308.534	398.021	242.814	335.223
Caust.v2_003925	1803	1329	1340	1566	1164	1283	1101	1393	1288	1123	1148	1100
Caust.v2_003927	4037.51884	3774.53203	3706.02257	5495.221	3948.4316	3875.38578	4359.50712	6174.5298	3995.5092	3791.68278	4042.8736	7491.3059
Caust.v2_003928	239.957	61.5046	72.6508	181.97	37.9867	52.8496	74.3667	101.998	99.2103	148.877	63.302	253.783
Caust.v2_003929	27	104	71	110	51	47	19	69	66	58	105	221
Caust.v2_003930	28	45	35	37	42	46	18	33	55	37	24	25
Caust.v2_003933	385	462	503	632	553	321	200	271	377	499	324	208
Caust.v2_003934	1302	2248	1659	1848	1829	1004	546	915	1332	1214	1704	524
Caust.v2_003936	1574	1970	1773	2133	1870	967	535	1015	1742	1451	1800	429
Caust.v2_003940	4.98825	22.5334	8.57817	19.7788	11.0395	14.4753	5.21687	7.64841	16.8356	6.33818	13.7552	2.95023
Caust.v2_003941	162.185	63.7988	60.0832	86.3505	43.957	137.357	189.87	246.703	95.8783	128.893	100.599	251.381
Caust.v2_003942	4	1	1	4	1	3	12	1	1	2	3	3
Caust.v2_003943	84	157	157	315	212	140	238	288	410	209	164	211
Caust.v2_003944	115	308	188	690	375	236	312	529	788	330	370	363
Caust.v2_003946	7	0	3	3	0	0	2	0	3	2	1	3
Caust.v2_003948	488	318	295	521	247	357	482	452	346	274	343	933
Caust.v2_003952	33	25	19	40	11	18	51	45	38	18	34	49
Caust.v2_003953	39	22	26	51	24	26	34	43	27	33	40	39
Caust.v2_003954	3396	2984	3443	4016	2925	3273	3312	4384	3053	3253	3351	4497
Caust.v2_003955	243	171	260	308	166	207	218	266	177	227	189	277
Caust.v2_003956	43	71	41	57	67	38	35	44	59	37	29	40
Caust.v2_003957	10	16	7	16	27	13	13	12	34	1	6	6
Caust.v2_003958	1888	2712	1729	2719	2240	1691	2349	2110	2294	1773	2231	3063
Caust.v2_003959	1520	876	1268	1216	758	1288	1620	1666	924	1140	1062	2253
Caust.v2_003960	1139	683	762	1042	638	1081	2058	1868	868	879	790	3123
Caust.v2_003962	863.924	1145.72	801.896	1455.95	942.942	668.972	1022.42	934.802	599.922	734.935	980.809	1160.41
Caust.v2_003964	0	2	0	7	1	0	3	1	4	3	2.07328	4
Caust.v2_003965	347	211	294	249	210	341	570	504	330	204	251	750
Caust.v2_003966	416	412	397	496	368	360	299	405	360	428	382	309
Caust.v2_003967	1311	790	916	1413	804	1043	1388	1668	876	839	1000	1964
Caust.v2_003968	323	243	252	269	200	261	233	354	258	253	169	364
Caust.v2_003969	134	118	160	122	102	133	67	86	124	103	155	299
Caust.v2_003970	232.5	158	214	185.5	175	207.5	207.5	231.5	185.5	237	164	292.5
Caust.v2_003972	21	4	4	9	1	2	9	5	9	8	8	33
Caust.v2_003973	12	2.10187	1.02806	5.05761	4.12292	4	11	1	3	4.13607	6	1
Caust.v2_003974	26	19.8981	36.9719	41.9424	14.8771	32	17	16	26	28.8639	23	15
Caust.v2_003975	7	4	2	8	2	1	2	4	2	0	9	1
Caust.v2_003976	108	203	157	474	144	114	247	267	228	165	321	212
Caust.v2_003977	334	111	195	238	79	232	474	447	214	198	146	615
Caust.v2_003978	605	634.5	554	943.5	1225.5	302	197	510.5	575.5	722	363.5	409.5
Caust.v2_003979	626	355	403	531.5	336.5	509.5	634.5	715.5	378	437	461.5	860
Caust.v2_003980	107.826	147.333	122.837	146.512	124.667	137.016	128.94	0	233	157.892	0	283
Caust.v2_003981	70.3333	36	62	41	32.3333	65.6667	86	95	45	37.6667	47.3333	111.667
Caust.v2_003985	612.063	2014.42	812.132	3062.43	1555.15	1204.16	612.916	1372.95	1772.31	1322.23	1138.35	533.133
Caust.v2_003992	824	987	914	1024	777	689	827	905	777	643	833	705
Caust.v2_003993	2789	3317	2711	3598	2877	3045	3089	4315	3400	2760	3216	3634
Caust.v2_003994	2044	1121	1527	1298	960	1694	3020	3154	1336	1233	1280	4048
Caust.v2_003995	3523	5829	6098.685	7487.245	9979	2809	1840	2907	3656	3748.745	3311	1702
Caust.v2_003996	38	44.3879	51.8447	48.6892	35.9039	50.5678	42.4247	37.6894	36.4639	27.101	33.7227	29.4737
Caust.v2_003997	8	3.61209	10.4716	15.0672	6.09609	10.4322	17.5753	23.3106	9.53612	1.15291	7.27728	10.5263
Caust.v2_003998	0	1	0	0	0	0	0	0	1	0	1	0
Caust.v2_003999	894	725	908	852	753	801	786	1043	913	696	709	1017
Caust.v2_004001	954.512	495.972	765	495.412	563	668.824	612.066	711.843	572.643	522	721.253	603.153
Caust.v2_004002	1519.77	1361.99	1611.89	2036.78	1380.94	1192.77	1038.81	1450.72	1322.78	1199.97	1420.93	1217.6
Caust.v2_004003	9.23408	2.00834	8.11058	6.22347	5.06184	7.23499	5.19366	5.28431	4.21552	3.02829	3.07359	5.39586
Caust.v2_004004	820	514	718	813	557	691	900	1101	575	613	681	1433
Caust.v2_004005	7687	6937	7703	7299	6450	6463	5699	8336	6384	5957	5308	6911
Caust.v2_004006	44	21	35	46	27	72	26	57	54	51	27	60
Caust.v2_004007	2066	1268	2058	1560	1223	1893	2043	2205	1597	1465	1443	2665
Caust.v2_004008	17	14	11	6	25	14	11	12	41	7	22	18
Caust.v2_004011	263	233	440	236	205	250	202	322	283	223	292	278
Caust.v2_004012	3410	2675	3777	2557	2759	2669	2644	3218	2135	2434	2121	3251
Caust.v2_004013	415	402	357	380	463	410	312	434	346	275	388	480
Caust.v2_004014	1273	3488	1215	1536	1362	1119	1096	2207	1294	804	2284	1091
Caust.v2_004015	1105	694	949	906	606	980	1466	1282	854	780	816	2223
Caust.v2_004016	366	207	242	266	239	364	302	341	238	229	210	393
Caust.v2_004017	126.99999	319.00001	124.00001	310	151.99997	159.99997	257.99998	472.9998	238.99997	198.00001	396.00001	223.99997
Caust.v2_004019	7256	6179	5496	8234	5282	5453	6867	9573	6199	5934	5762	7515
Caust.v2_004021	1138	919	955	1209	854	1048	1342	1677	915	1034	944	2293
Caust.v2_004022	2657.38	1406	1582.17	2134	1061.71	2238.27	2282	2547.63	1754.72	2122	2006	2278.88
